"",BBFN1.M.DE.N.1.A.CA.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:25,
1975-12,0.122,
1976-01,0.132,
1976-02,0.143,
1976-03,0.141,
1976-04,0.164,
1976-05,0.200,
1976-06,0.178,
1976-07,0.176,
1976-08,0.168,
1976-09,0.144,
1976-10,0.141,
1976-11,0.131,
1976-12,0.099,
1977-01,0.135,
1977-02,0.139,
1977-03,0.112,
1977-04,0.114,
1977-05,0.144,
1977-06,0.152,
1977-07,0.160,
1977-08,0.155,
1977-09,0.138,
1977-10,0.163,
1977-11,0.139,
1977-12,0.103,
1978-01,0.141,
1978-02,0.146,
1978-03,0.124,
1978-04,0.126,
1978-05,0.163,
1978-06,0.183,
1978-07,0.170,
1978-08,0.170,
1978-09,0.184,
1978-10,0.198,
1978-11,0.165,
1978-12,0.124,
1979-01,0.143,
1979-02,0.148,
1979-03,0.205,
1979-04,0.175,
1979-05,0.233,
1979-06,0.246,
1979-07,0.241,
1979-08,0.241,
1979-09,0.243,
1979-10,0.200,
1979-11,0.181,
1979-12,0.153,
1980-01,0.180,
1980-02,0.154,
1980-03,0.197,
1980-04,0.207,
1980-05,0.194,
1980-06,0.105,
1980-07,0.116,
1980-08,0.098,
1980-09,0.127,
1980-10,0.129,
1980-11,0.106,
1980-12,0.107,
1981-01,0.121,
1981-02,0.117,
1981-03,0.134,
1981-04,0.146,
1981-05,0.147,
1981-06,0.145,
1981-07,0.150,
1981-08,0.161,
1981-09,0.125,
1981-10,0.141,
1981-11,0.149,
1981-12,0.225,
1982-01,0.231,
1982-02,0.220,
1982-03,0.234,
1982-04,0.196,
1982-05,0.198,
1982-06,0.214,
1982-07,0.206,
1982-08,0.207,
1982-09,0.216,
1982-10,0.222,
1982-11,0.209,
1982-12,0.154,
1983-01,0.181,
1983-02,0.144,
1983-03,0.205,
1983-04,0.201,
1983-05,0.210,
1983-06,0.193,
1983-07,0.221,
1983-08,0.210,
1983-09,0.213,
1983-10,0.242,
1983-11,0.206,
1983-12,0.167,
1984-01,0.255,
1984-02,0.153,
1984-03,0.276,
1984-04,0.311,
1984-05,0.232,
1984-06,0.164,
1984-07,0.197,
1984-08,0.191,
1984-09,0.196,
1984-10,0.213,
1984-11,0.201,
1984-12,0.169,
1985-01,0.191,
1985-02,0.220,
1985-03,0.170,
1985-04,0.189,
1985-05,0.208,
1985-06,0.273,
1985-07,0.238,
1985-08,0.201,
1985-09,0.196,
1985-10,0.204,
1985-11,0.213,
1985-12,0.198,
1986-01,0.237,
1986-02,0.193,
1986-03,0.183,
1986-04,0.207,
