"",BBK01.OEAO03M,BBK01.OEAO03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:00,
2002-01,6.763,
2002-04,6.232,
2002-07,5.246,
2002-10,5.323,
2003-01,6.142,
2003-04,5.166,
2003-07,5.068,
2003-10,5.134,
2004-01,5.850,
2004-04,4.669,
2004-07,4.685,
2004-10,5.187,
2005-01,6.246,
2005-04,5.298,
2005-07,5.123,
2005-10,5.522,
2006-01,6.520,
2006-04,5.714,
2006-07,5.927,
2006-10,6.858,
2007-01,7.983,
2007-04,6.468,
2007-07,6.457,
2007-10,6.607,
2008-01,7.139,
2008-04,6.057,
2008-07,6.137,
2008-10,6.676,
2009-01,6.263,
2009-04,5.547,
2009-07,6.055,
2009-10,6.418,
2010-01,5.597,
2010-04,4.284,
2010-07,4.133,
2010-10,4.348,
2011-01,4.928,
2011-04,4.560,
2011-07,4.526,
2011-10,4.585,
2012-01,5.057,
2012-04,4.294,
2012-07,4.594,
2012-10,4.829,
2013-01,5.055,
2013-04,4.162,
2013-07,3.952,
2013-10,3.897,
2014-01,4.135,
2014-04,3.808,
2014-07,3.878,
