"",BBK01.OEAD40G,BBK01.OEAD40G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:41,
2002-01,1.885,
2002-04,1.846,
2002-07,1.778,
2002-10,1.774,
2003-01,1.763,
2003-04,1.732,
2003-07,1.736,
2003-10,1.734,
2004-01,1.695,
2004-04,1.654,
2004-07,1.608,
2004-10,1.579,
2005-01,1.541,
2005-04,1.538,
2005-07,1.511,
2005-10,1.520,
2006-01,1.470,
2006-04,1.441,
2006-07,1.461,
2006-10,1.482,
2007-01,1.450,
2007-04,1.444,
2007-07,1.461,
2007-10,1.452,
2008-01,1.437,
2008-04,1.482,
2008-07,1.475,
2008-10,1.587,
2009-01,1.566,
2009-04,1.728,
2009-07,1.686,
2009-10,1.657,
2010-01,1.631,
2010-04,1.510,
2010-07,1.498,
2010-10,1.485,
2011-01,1.439,
2011-04,1.420,
2011-07,1.413,
2011-10,1.395,
2012-01,1.384,
2012-04,1.389,
2012-07,1.386,
2012-10,1.374,
2013-01,1.455,
2013-04,1.575,
2013-07,1.504,
2013-10,1.499,
2014-01,1.469,
2014-04,1.452,
2014-07,1.450,
