"",BBK01.OEAB22M,BBK01.OEAB22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:22,
2002-01,1.489,
2002-04,1.900,
2002-07,1.455,
2002-10,1.665,
2003-01,2.040,
2003-04,2.072,
2003-07,2.026,
2003-10,2.382,
2004-01,1.934,
2004-04,3.313,
2004-07,2.888,
2004-10,2.409,
2005-01,2.789,
2005-04,2.301,
2005-07,2.419,
2005-10,2.823,
2006-01,2.778,
2006-04,2.954,
2006-07,2.666,
2006-10,2.322,
2007-01,2.323,
2007-04,2.091,
2007-07,2.175,
2007-10,1.790,
2008-01,3.180,
2008-04,2.460,
2008-07,1.979,
2008-10,1.730,
2009-01,2.399,
2009-04,1.811,
2009-07,1.437,
2009-10,1.505,
2010-01,2.131,
2010-04,1.675,
2010-07,1.702,
2010-10,1.435,
2011-01,2.136,
2011-04,1.527,
2011-07,2.210,
2011-10,2.472,
2012-01,2.605,
2012-04,2.846,
2012-07,2.576,
2012-10,3.235,
2013-01,2.014,
2013-04,2.240,
2013-07,2.205,
2013-10,2.594,
2014-01,1.666,
2014-04,1.876,
2014-07,1.715,
