"",BBK01.OEYL04O,BBK01.OEYL04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:16,
2002-01,0.499,
2002-04,0.510,
2002-07,0.551,
2002-10,0.583,
2003-01,0.638,
2003-04,0.677,
2003-07,0.710,
2003-10,0.742,
2004-01,0.815,
2004-04,0.813,
2004-07,0.843,
2004-10,0.845,
2005-01,0.845,
2005-04,0.881,
2005-07,0.948,
2005-10,0.995,
2006-01,1.004,
2006-04,1.089,
2006-07,1.140,
2006-10,1.242,
2007-01,1.266,
2007-04,1.238,
2007-07,1.236,
2007-10,1.411,
2008-01,1.561,
2008-04,1.686,
2008-07,1.682,
2008-10,1.721,
2009-01,1.810,
2009-04,1.807,
2009-07,1.817,
2009-10,1.672,
2010-01,1.510,
2010-04,1.307,
2010-07,1.134,
2010-10,1.024,
2011-01,0.883,
2011-04,0.869,
2011-07,0.842,
2011-10,0.808,
2012-01,0.775,
2012-04,0.767,
2012-07,0.739,
2012-10,0.703,
2013-01,0.653,
2013-04,0.593,
2013-07,0.552,
2013-10,0.527,
2014-01,0.498,
2014-04,0.478,
2014-07,0.465,
