"",BBFN1.M.DE.N.1.A.DK.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DK.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:09,
1994-07,0.776,
1994-08,0.846,
1994-09,0.936,
1994-10,0.937,
1994-11,0.955,
1994-12,0.941,
1995-01,0.974,
1995-02,1.016,
1995-03,1.055,
1995-04,1.033,
1995-05,1.049,
1995-06,1.043,
1995-07,0.989,
1995-08,0.975,
1995-09,1.093,
1995-10,1.094,
1995-11,1.086,
1995-12,0.963,
1996-01,0.953,
1996-02,0.975,
1996-03,1.016,
1996-04,1.026,
1996-05,1.056,
1996-06,1.060,
1996-07,1.006,
1996-08,0.993,
1996-09,1.033,
1996-10,1.063,
1996-11,1.084,
1996-12,0.921,
1997-01,0.933,
1997-02,0.963,
1997-03,0.990,
1997-04,0.989,
1997-05,0.999,
1997-06,1.008,
1997-07,0.941,
1997-08,0.965,
1997-09,1.013,
1997-10,1.012,
1997-11,1.019,
1997-12,0.981,
1998-01,1.001,
1998-02,1.054,
1998-03,1.137,
1998-04,1.108,
1998-05,1.146,
1998-06,1.115,
1998-07,0.993,
1998-08,0.979,
1998-09,1.008,
1998-10,1.024,
1998-11,1.026,
1998-12,0.963,
1999-01,0.946,
1999-02,0.985,
1999-03,1.034,
1999-04,1.020,
1999-05,1.051,
1999-06,1.076,
1999-07,0.994,
1999-08,1.055,
1999-09,1.094,
1999-10,1.099,
1999-11,1.091,
1999-12,1.056,
2000-01,1.026,
2000-02,1.062,
2000-03,1.177,
2000-04,1.144,
2000-05,1.261,
2000-06,1.181,
2000-07,1.157,
2000-08,1.121,
2000-09,1.209,
2000-10,1.238,
2000-11,1.223,
2000-12,1.138,
2001-01,1.160,
2001-02,1.166,
2001-03,1.218,
2001-04,1.193,
2001-05,1.207,
2001-06,1.221,
2001-07,1.155,
2001-08,1.183,
2001-09,1.186,
2001-10,1.231,
2001-11,1.240,
2001-12,1.147,
2002-01,1.073,
2002-02,1.117,
2002-03,1.168,
2002-04,1.130,
2002-05,1.090,
2002-06,1.174,
2002-07,1.056,
2002-08,1.097,
2002-09,1.165,
2002-10,1.227,
2002-11,1.177,
2002-12,1.143,
2003-01,1.087,
2003-02,1.119,
2003-03,1.139,
2003-04,1.104,
2003-05,1.106,
2003-06,1.053,
2003-07,1.025,
2003-08,1.066,
2003-09,1.050,
2003-10,1.076,
2003-11,1.100,
2003-12,1.029,
2004-01,0.954,
2004-02,0.987,
2004-03,1.062,
2004-04,1.026,
2004-05,1.004,
2004-06,1.085,
2004-07,0.993,
2004-08,1.002,
2004-09,1.072,
2004-10,1.128,
2004-11,1.141,
2004-12,1.055,
2005-01,1.084,
2005-02,1.142,
2005-03,1.229,
2005-04,1.193,
2005-05,1.143,
2005-06,1.265,
2005-07,1.168,
2005-08,1.190,
2005-09,1.206,
2005-10,1.235,
2005-11,1.390,
2005-12,1.278,
2006-01,1.211,
2006-02,1.208,
2006-03,1.400,
2006-04,1.373,
2006-05,1.325,
2006-06,1.348,
2006-07,1.289,
2006-08,1.345,
2006-09,1.373,
2006-10,1.376,
2006-11,1.439,
2006-12,1.367,
2007-01,1.293,
2007-02,1.353,
2007-03,1.442,
2007-04,1.459,
2007-05,1.402,
2007-06,1.431,
2007-07,1.391,
2007-08,1.418,
2007-09,1.419,
2007-10,1.519,
2007-11,1.599,
2007-12,1.698,
2008-01,1.596,
2008-02,1.674,
2008-03,1.705,
2008-04,1.782,
2008-05,1.669,
2008-06,1.740,
2008-07,1.659,
2008-08,1.587,
2008-09,1.693,
2008-10,1.701,
2008-11,1.623,
2008-12,1.557,
2009-01,1.418,
2009-02,1.396,
2009-03,1.453,
2009-04,1.392,
2009-05,1.371,
2009-06,1.267,
2009-07,1.215,
2009-08,1.225,
2009-09,1.331,
2009-10,1.304,
2009-11,1.356,
2009-12,1.281,
2010-01,1.390,
2010-02,1.187,
2010-03,1.311,
2010-04,1.289,
2010-05,1.329,
2010-06,1.345,
2010-07,1.354,
2010-08,1.301,
2010-09,1.396,
2010-10,1.369,
2010-11,1.420,
2010-12,1.379,
2011-01,1.349,
2011-02,1.250,
2011-03,1.209,
2011-04,1.337,
2011-05,1.298,
2011-06,1.338,
2011-07,1.309,
2011-08,1.254,
2011-09,1.342,
2011-10,1.370,
2011-11,1.401,
2011-12,1.400,
2012-01,1.241,
2012-02,1.317,
2012-03,1.414,
2012-04,1.330,
2012-05,1.349,
2012-06,1.494,
2012-07,1.304,
2012-08,1.281,
2012-09,1.290,
2012-10,1.538,
2012-11,1.518,
2012-12,1.496,
2013-01,1.428,
2013-02,1.506,
2013-03,1.467,
2013-04,1.490,
2013-05,1.345,
2013-06,1.429,
2013-07,1.296,
2013-08,1.258,
2013-09,1.350,
2013-10,1.396,
2013-11,1.392,
2013-12,1.377,
2014-01,1.335,
2014-02,1.310,
2014-03,1.504,
2014-04,1.504,
2014-05,1.436,
2014-06,1.403,
2014-07,1.310,
2014-08,1.368,
2014-09,1.455,
2014-10,1.444,
2014-11,1.428,
2014-12,1.352,
