"",BBK01.OEAD39L,BBK01.OEAD39L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:06,
2002-01,0.321,
2002-04,0.308,
2002-07,0.332,
2002-10,0.364,
2003-01,0.373,
2003-04,0.361,
2003-07,0.361,
2003-10,0.314,
2004-01,0.306,
2004-04,0.302,
2004-07,0.288,
2004-10,0.231,
2005-01,0.292,
2005-04,0.320,
2005-07,0.358,
2005-10,0.347,
2006-01,0.307,
2006-04,0.355,
2006-07,0.314,
2006-10,0.321,
2007-01,0.300,
2007-04,0.280,
2007-07,0.357,
2007-10,0.336,
2008-01,0.343,
2008-04,0.347,
2008-07,0.329,
2008-10,0.338,
2009-01,0.279,
2009-04,0.298,
2009-07,0.289,
2009-10,0.245,
2010-01,0.223,
2010-04,0.216,
2010-07,0.204,
2010-10,0.200,
2011-01,0.201,
2011-04,0.192,
2011-07,0.175,
2011-10,0.175,
2012-01,0.161,
2012-04,0.151,
2012-07,0.148,
2012-10,0.145,
2013-01,0.133,
2013-04,0.142,
2013-07,0.135,
2013-10,0.117,
2014-01,0.112,
2014-04,0.114,
2014-07,0.117,
