"",BBK01.CEBR0X,BBK01.CEBR0X_FLAGS
"",longer-term time deposits debtor: All sectors                    creditor:  Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:14,
1991-01,0.3,
1991-04,0.3,
1991-07,0.4,
1991-10,0.3,
1992-01,0.3,
1992-04,0.2,
1992-07,0.2,
1992-10,0.2,
1993-01,0.3,
1993-04,0.3,
1993-07,0.3,
1993-10,0.3,
1994-01,0.3,
1994-04,0.3,
1994-07,0.3,
1994-10,0.2,
1995-01,0.3,
1995-04,0.3,
1995-07,0.3,
1995-10,0.3,
1996-01,0.3,
1996-04,0.3,
1996-07,0.3,
1996-10,0.3,
1997-01,0.3,
1997-04,0.3,
1997-07,0.3,
1997-10,0.3,
1998-01,0.3,
1998-04,0.3,
1998-07,0.3,
1998-10,0.6,
1999-01,1.6,
1999-04,1.7,
1999-07,1.8,
1999-10,1.9,
2000-01,2.0,
2000-04,2.1,
2000-07,3.1,
2000-10,3.2,
2001-01,2.1,
2001-04,2.2,
2001-07,2.2,
2001-10,2.9,
2002-01,2.9,
2002-04,3.1,
2002-07,3.3,
2002-10,3.8,
2003-01,4.4,
2003-04,4.5,
2003-07,4.8,
2003-10,5.0,
2004-01,5.0,
2004-04,4.9,
2004-07,5.4,
2004-10,5.0,
2005-01,5.2,
2005-04,5.1,
2005-07,5.5,
2005-10,5.3,
2006-01,9.7,
2006-04,12.4,
2006-07,15.4,
2006-10,23.3,
2007-01,27.3,
2007-04,34.0,
2007-07,40.9,
2007-10,51.9,
2008-01,55.7,
2008-04,56.7,
2008-07,62.6,
2008-10,89.5,
2009-01,92.6,
2009-04,99.0,
2009-07,105.7,
2009-10,105.9,
2010-01,109.4,
2010-04,112.5,
2010-07,125.2,
2010-10,153.6,
2011-01,142.8,
2011-04,136.5,
2011-07,132.1,
2011-10,107.0,
2012-01,102.5,
2012-04,82.9,
2012-07,79.0,
2012-10,72.6,
2013-01,70.2,
2013-04,68.0,
2013-07,67.4,
2013-10,66.4,
2014-01,65.9,
