"",BBFN1.M.DE.N.1.L.TH.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TH.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Thailand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:43,
1994-07,0.481,
1994-08,0.420,
1994-09,0.406,
1994-10,0.411,
1994-11,0.450,
1994-12,0.384,
1995-01,0.357,
1995-02,0.344,
1995-03,0.365,
1995-04,0.383,
1995-05,0.351,
1995-06,0.381,
1995-07,0.446,
1995-08,0.484,
1995-09,0.486,
1995-10,0.468,
1995-11,0.541,
1995-12,0.539,
1996-01,0.555,
1996-02,0.572,
1996-03,0.668,
1996-04,0.655,
1996-05,0.693,
1996-06,0.647,
1996-07,0.666,
1996-08,0.721,
1996-09,0.714,
1996-10,0.720,
1996-11,0.680,
1996-12,0.593,
1997-01,0.595,
1997-02,0.577,
1997-03,0.575,
1997-04,0.564,
1997-05,0.496,
1997-06,0.492,
1997-07,0.503,
1997-08,0.495,
1997-09,0.495,
1997-10,0.504,
1997-11,0.478,
1997-12,0.466,
1998-01,0.489,
1998-02,0.490,
1998-03,0.499,
1998-04,0.460,
1998-05,0.481,
1998-06,0.519,
1998-07,0.478,
1998-08,0.431,
1998-09,0.392,
1998-10,0.374,
1998-11,0.386,
1998-12,0.300,
1999-01,0.339,
1999-02,0.337,
1999-03,0.341,
1999-04,0.249,
1999-05,0.336,
1999-06,0.302,
1999-07,0.301,
1999-08,0.306,
1999-09,0.258,
1999-10,0.248,
1999-11,0.253,
1999-12,0.256,
2000-01,0.257,
2000-02,0.257,
2000-03,0.267,
2000-04,0.269,
2000-05,0.269,
2000-06,0.287,
2000-07,0.292,
2000-08,0.280,
2000-09,0.272,
2000-10,0.293,
2000-11,0.314,
2000-12,0.325,
2001-01,0.332,
2001-02,0.349,
2001-03,0.371,
2001-04,0.354,
2001-05,0.394,
2001-06,0.406,
2001-07,0.425,
2001-08,0.430,
2001-09,0.425,
2001-10,0.403,
2001-11,0.350,
2001-12,0.355,
2002-01,0.313,
2002-02,0.317,
2002-03,0.403,
2002-04,0.401,
2002-05,0.386,
2002-06,0.464,
2002-07,0.475,
2002-08,0.419,
2002-09,0.440,
2002-10,0.472,
2002-11,0.493,
2002-12,0.436,
2003-01,0.483,
2003-02,0.391,
2003-03,0.401,
2003-04,0.392,
2003-05,0.384,
2003-06,0.419,
2003-07,0.383,
2003-08,0.359,
2003-09,0.347,
2003-10,0.337,
2003-11,0.342,
2003-12,0.338,
2004-01,0.338,
2004-02,0.352,
2004-03,0.366,
2004-04,0.357,
2004-05,0.342,
2004-06,0.348,
2004-07,0.359,
2004-08,0.380,
2004-09,0.148,
2004-10,0.149,
2004-11,0.145,
2004-12,0.148,
2005-01,0.148,
2005-02,0.154,
2005-03,0.163,
2005-04,0.163,
2005-05,0.175,
2005-06,0.184,
2005-07,0.189,
2005-08,0.196,
2005-09,0.252,
2005-10,0.268,
2005-11,0.282,
2005-12,0.249,
2006-01,0.249,
2006-02,0.216,
2006-03,0.225,
2006-04,0.228,
2006-05,0.244,
2006-06,0.268,
2006-07,0.260,
2006-08,0.264,
2006-09,0.287,
2006-10,0.286,
2006-11,0.267,
2006-12,0.285,
2007-01,0.287,
2007-02,0.323,
2007-03,0.351,
2007-04,0.359,
2007-05,0.365,
2007-06,0.396,
2007-07,0.391,
2007-08,0.401,
2007-09,0.444,
2007-10,0.450,
2007-11,0.402,
2007-12,0.427,
2008-01,0.445,
2008-02,0.470,
2008-03,0.491,
2008-04,0.513,
2008-05,0.464,
2008-06,0.438,
2008-07,0.442,
2008-08,0.443,
2008-09,0.345,
2008-10,0.336,
2008-11,0.345,
2008-12,0.352,
2009-01,0.324,
2009-02,0.350,
2009-03,0.350,
2009-04,0.348,
2009-05,0.390,
2009-06,0.353,
2009-07,0.374,
2009-08,0.374,
2009-09,0.392,
2009-10,0.400,
2009-11,0.400,
2009-12,0.285,
2010-01,0.289,
2010-02,0.305,
2010-03,0.299,
2010-04,0.294,
2010-05,0.279,
2010-06,0.298,
2010-07,0.286,
2010-08,0.306,
2010-09,0.292,
2010-10,0.271,
2010-11,0.261,
2010-12,0.263,
2011-01,0.275,
2011-02,0.284,
2011-03,0.295,
2011-04,0.309,
2011-05,0.334,
2011-06,0.367,
2011-07,0.362,
2011-08,0.381,
2011-09,0.396,
2011-10,0.425,
2011-11,0.398,
2011-12,0.373,
2012-01,0.380,
2012-02,0.389,
2012-03,0.368,
2012-04,0.371,
2012-05,0.390,
2012-06,0.381,
2012-07,0.366,
2012-08,0.346,
2012-09,0.489,
2012-10,0.491,
2012-11,0.521,
2012-12,0.538,
2013-01,0.563,
2013-02,0.587,
2013-03,0.649,
2013-04,0.652,
2013-05,0.637,
2013-06,0.652,
2013-07,0.613,
2013-08,0.644,
2013-09,0.633,
2013-10,0.634,
2013-11,0.662,
2013-12,0.676,
2014-01,0.674,
2014-02,0.710,
2014-03,0.712,
2014-04,0.686,
2014-05,0.684,
2014-06,0.673,
2014-07,0.698,
2014-08,0.735,
2014-09,0.410,
2014-10,0.414,
2014-11,0.357,
2014-12,0.386,
