"",BBEX3.M.ERN.EUR.CA.AC.A01,BBEX3.M.ERN.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Eritrea / EUR 1 = ERN ... (middle),
unit,ERN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:14,
1999-01,8.72700,
1999-02,8.45345,
1999-03,8.29315,
1999-04,8.70295,
1999-05,8.59460,
1999-06,8.49355,
1999-07,8.75840,
1999-08,8.56950,
1999-09,8.65050,
1999-10,8.63135,
1999-11,9.81155,comment
1999-12,9.72720,
2000-01,9.56030,
2000-02,9.38180,
2000-03,9.27130,
2000-04,8.93175,
2000-05,9.07730,
2000-06,9.22180,
2000-07,8.95420,
2000-08,8.56630,
2000-09,8.54125,
2000-10,8.19960,
2000-11,8.21115,
2000-12,9.51510,
2001-01,9.40440,
2001-02,9.31110,
2001-03,9.23425,
2001-04,9.24860,
2001-05,8.77195,
2001-06,8.73710,
2001-07,8.96975,
2001-08,9.31415,
2001-09,12.38090,comment
2001-10,12.35785,
2001-11,12.36520,
2001-12,12.45720,
2002-01,12.31000,
2002-02,12.39270,
2002-03,12.37085,
2002-04,12.45285,
2002-05,12.54195,
2002-06,12.70440,
2002-07,13.84640,
2002-08,13.72830,
2002-09,13.62625,
2002-10,13.79640,
2002-11,14.00230,
2002-12,14.11185,
2003-01,15.08110,
2003-02,15.08110,
2003-03,14.81145,
2003-04,14.99985,
2003-05,15.48215,
2003-06,15.43800,
2003-07,15.33720,
2003-08,14.99290,
2003-09,15.46970,
2003-10,15.54695,
2003-11,15.52080,
2003-12,15.96925,
2004-01,17.37725,
2004-02,17.43590,
2004-03,17.06270,
2004-04,16.88155,
2004-05,16.99370,
2004-06,17.02300,
2004-07,17.14205,
2004-08,17.19040,
2004-09,17.20420,
2004-10,17.40080,
2004-11,17.69750,
2004-12,18.02525,
2005-01,19.93075,
2005-02,20.11675,
2005-03,19.84675,
2005-04,19.76125,
2005-05,19.13125,
2005-06,18.48625,
2005-07,18.49975,
2005-08,18.82675,
2005-09,18.46525,
2005-10,18.48625,
2005-11,17.94625,
2005-12,18.25375,
2006-01,18.64075,
2006-02,18.16075,
2006-03,18.48325,
2006-04,18.85225,
2006-05,19.59475,
2006-06,19.17025,
2006-07,19.34575,
2006-08,19.59775,
2006-09,19.45525,
2006-10,19.46425,
2006-11,20.05375,
2006-12,20.10625,
2007-01,19.75975,
2007-02,20.11525,
2007-03,20.39725,
2007-04,20.79925,
2007-05,20.53675,
2007-06,20.57425,
2007-07,20.88175,
2007-08,20.79775,
2007-09,21.60925,
2007-10,21.99475,
2007-11,22.47625,
2007-12,22.14325,
2008-01,22.46875,
2008-02,23.01775,
2008-03,24.06775,
2008-04,23.87575,
2008-05,23.71225,
2008-06,23.95075,
2008-07,24.01675,
2008-08,22.53625,
2008-09,21.90025,
2008-10,19.97725,
2008-11,19.72075,
2008-12,20.85025,
2009-01,20.06575,
2009-02,19.54525,
2009-03,20.13325,
2009-04,20.07325,
2009-05,21.19975,
2009-06,21.45475,
2009-07,21.47725,
2009-08,21.76225,
2009-09,22.32175,
2009-10,22.47175,
2009-11,22.98625,
2009-12,21.98725,
2010-01,21.37225,
2010-02,20.62225,
2010-03,20.59525,
2010-04,20.24275,
2010-05,18.83275,
2010-06,18.88525,
2010-07,20.00425,
2010-08,19.43275,
2010-09,20.38075,
2010-10,21.15325,
2010-11,20.13025,
2010-12,20.25175,
2011-01,20.98225,
2011-02,21.01825,
2011-03,21.46075,
2011-04,22.60375,
2011-05,21.80575,
2011-06,21.70075,
2011-07,21.82075,
2011-08,22.13125,
2011-09,20.61175,
2011-10,21.42775,
2011-11,20.43175,
2011-12,19.67875,
2012-01,20.06575,
2012-02,20.47525,
2012-03,20.28925,
2012-04,20.19025,
2012-05,19.53175,
2012-06,19.01575,
2012-07,18.77275,
2012-08,19.19125,
2012-09,19.73725,
2012-10,19.72225,
2012-11,19.85725,
2012-12,20.27275,
2013-01,20.53375,
2013-02,20.28175,
2013-03,19.59475,
2013-04,20.00275,
2013-05,19.85575,
2013-06,19.91275,
2013-07,20.31025,
2013-08,20.26375,
2013-09,20.63725,
2013-10,21.07675,
2013-11,20.76775,
2013-12,21.02425,
2014-01,20.77675,
2014-02,20.87425,
2014-03,21.02725,
2014-04,21.18175,
2014-05,20.80525,
2014-06,20.80075,
2014-07,20.59075,
2014-08,20.14375,
2014-09,19.40875,
2014-10,19.47625,
2014-11,19.05775,
2014-12,18.68125,
2015-01,17.41975,
2015-02,17.40625,
"","Source: Calculated on the basis of the buying and selling rates of the Bank of Eritrea, Asmara.",
"","Comment on 1999-11: On 15 November 1999, the nakfa was devalued. We recorded the following exchange rates (buying/selling rate).  12 November 1999: EUR 1 = ERN 8.4276 / 8.6383  15 November 1999: EUR 1 = ERN 9.9464 / 10.1558.  Calculated devaluation:15.1% (middle rate).",
"","Comment on 2001-09: On 10 September 2001, the nakfa was devalued. We recorded the following exchange rates (buying/selling rate).  7 September 2001: EUR 1 = ERN 9.0494 / 9.1382  10 September 2001: EUR 1 = ERN 12.1718 / 12.4900.  Calculated devaluation:26.3% (middle rate).",
