"",BBK01.OEAA24O,BBK01.OEAA24O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:34,
2002-01,-0.330,
2002-04,-0.326,
2002-07,-0.310,
2002-10,-0.307,
2003-01,-0.296,
2003-04,-0.295,
2003-07,-0.288,
2003-10,-0.337,
2004-01,-0.276,
2004-04,-0.273,
2004-07,-0.263,
2004-10,3.367,
2005-01,3.492,
2005-04,3.572,
2005-07,3.619,
2005-10,3.632,
2006-01,3.643,
2006-04,3.685,
2006-07,3.733,
2006-10,3.767,
2007-01,3.780,
2007-04,3.740,
2007-07,3.783,
2007-10,3.886,
2008-01,3.900,
2008-04,3.929,
2008-07,3.927,
2008-10,3.920,
2009-01,4.257,
2009-04,4.304,
2009-07,4.327,
2009-10,4.827,
2010-01,4.857,
2010-04,4.904,
2010-07,4.904,
2010-10,0.754,
2011-01,0.787,
2011-04,0.783,
2011-07,0.779,
2011-10,0.773,
2012-01,0.429,
2012-04,0.422,
2012-07,0.484,
2012-10,0.467,
2013-01,0.485,
2013-04,0.457,
2013-07,0.451,
2013-10,0.450,
2014-01,0.443,
2014-04,0.441,
2014-07,0.423,
