"",BBFN1.M.DE.N.1.A.LI.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LI.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
2002-06,0.046,
2002-07,0.046,
2002-08,0.040,
2002-09,0.041,
2002-10,0.033,
2002-11,0.033,
2002-12,0.056,
2003-01,0.047,
2003-02,0.037,
2003-03,0.037,
2003-04,0.050,
2003-05,0.043,
2003-06,0.057,
2003-07,0.042,
2003-08,0.039,
2003-09,0.040,
2003-10,0.042,
2003-11,0.043,
2003-12,0.048,
2004-01,0.048,
2004-02,0.049,
2004-03,0.047,
2004-04,0.050,
2004-05,0.052,
2004-06,0.052,
2004-07,0.049,
2004-08,0.051,
2004-09,0.055,
2004-10,0.057,
2004-11,0.050,
2004-12,0.048,
2005-01,0.045,
2005-02,0.057,
2005-03,0.052,
2005-04,0.059,
2005-05,0.056,
2005-06,0.068,
2005-07,0.061,
2005-08,0.059,
2005-09,0.062,
2005-10,0.046,
2005-11,0.046,
2005-12,0.037,
2006-01,0.046,
2006-02,0.045,
2006-03,0.044,
2006-04,0.048,
2006-05,0.047,
2006-06,0.042,
2006-07,0.040,
2006-08,0.036,
2006-09,0.040,
2006-10,0.037,
2006-11,0.034,
2006-12,0.033,
2007-01,0.033,
2007-02,0.040,
2007-03,0.042,
2007-04,0.038,
2007-05,0.039,
2007-06,0.041,
2007-07,0.037,
2007-08,0.033,
2007-09,0.039,
2007-10,0.040,
2007-11,0.041,
2007-12,0.043,
2008-01,0.039,
2008-02,0.040,
2008-03,0.046,
2008-04,0.049,
2008-05,0.043,
2008-06,0.044,
2008-07,0.042,
2008-08,0.050,
2008-09,0.071,
2008-10,0.063,
2008-11,0.065,
2008-12,0.063,
2009-01,0.066,
2009-02,0.133,
2009-03,0.058,
2009-04,0.061,
2009-05,0.058,
2009-06,0.059,
2009-07,0.059,
2009-08,0.063,
2009-09,0.065,
2009-10,0.067,
2009-11,0.061,
2009-12,0.055,
2010-01,0.063,
2010-02,0.058,
2010-03,0.070,
2010-04,0.064,
2010-05,0.072,
2010-06,0.086,
2010-07,0.074,
2010-08,0.077,
2010-09,0.076,
2010-10,0.092,
2010-11,0.075,
2010-12,0.074,
2011-01,0.075,
2011-02,0.083,
2011-03,0.080,
2011-04,0.087,
2011-05,0.083,
2011-06,0.076,
2011-07,0.116,
2011-08,0.073,
2011-09,0.079,
2011-10,0.083,
2011-11,0.082,
2011-12,0.082,
2012-01,0.077,
2012-02,0.077,
2012-03,0.083,
2012-04,0.088,
2012-05,0.090,
2012-06,0.096,
2012-07,0.096,
2012-08,0.097,
2012-09,0.097,
2012-10,0.105,
2012-11,0.108,
2012-12,0.073,
2013-01,0.050,
2013-02,0.052,
2013-03,0.058,
2013-04,0.066,
2013-05,0.063,
2013-06,0.055,
2013-07,0.058,
2013-08,0.055,
2013-09,0.056,
2013-10,0.059,
2013-11,0.072,
2013-12,0.068,
2014-01,0.072,
2014-02,0.075,
2014-03,0.077,
2014-04,0.079,
2014-05,0.078,
2014-06,0.074,
2014-07,0.078,
2014-08,0.077,
2014-09,0.082,
2014-10,0.085,
2014-11,0.089,
2014-12,0.086,
