"",BBK01.OELJ02I,BBK01.OELJ02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:22,
2002-01,1.005,
2002-04,0.929,
2002-07,1.003,
2002-10,1.143,
2003-01,0.994,
2003-04,1.195,
2003-07,1.256,
2003-10,1.405,
2004-01,1.516,
2004-04,1.572,
2004-07,1.629,
2004-10,1.820,
2005-01,1.828,
2005-04,1.747,
2005-07,1.860,
2005-10,2.035,
2006-01,2.056,
2006-04,1.956,
2006-07,1.997,
2006-10,1.996,
2007-01,1.755,
2007-04,1.888,
2007-07,1.888,
2007-10,1.828,
2008-01,1.827,
2008-04,1.837,
2008-07,1.978,
2008-10,2.015,
2009-01,2.511,
2009-04,2.342,
2009-07,2.521,
2009-10,2.667,
2010-01,2.777,
2010-04,2.643,
2010-07,2.534,
2010-10,2.423,
2011-01,2.591,
2011-04,2.627,
2011-07,2.760,
2011-10,2.575,
2012-01,2.647,
2012-04,2.510,
2012-07,2.759,
2012-10,2.901,
2013-01,2.986,
2013-04,3.053,
2013-07,3.166,
2013-10,3.201,
2014-01,3.183,
2014-04,3.233,
2014-07,3.384,
