"",BBK01.OECB03H,BBK01.OECB03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:51,
2002-01,8.252,
2002-04,8.284,
2002-07,8.130,
2002-10,7.843,
2003-01,8.197,
2003-04,7.967,
2003-07,8.588,
2003-10,8.400,
2004-01,8.182,
2004-04,8.731,
2004-07,8.432,
2004-10,8.501,
2005-01,8.870,
2005-04,9.157,
2005-07,9.207,
2005-10,9.739,
2006-01,9.822,
2006-04,9.065,
2006-07,8.890,
2006-10,8.603,
2007-01,8.610,
2007-04,9.134,
2007-07,8.460,
2007-10,8.938,
2008-01,9.089,
2008-04,9.563,
2008-07,9.439,
2008-10,10.547,
2009-01,10.734,
2009-04,10.997,
2009-07,10.922,
2009-10,10.740,
2010-01,10.123,
2010-04,10.064,
2010-07,9.060,
2010-10,9.429,
2011-01,9.762,
2011-04,9.451,
2011-07,9.107,
2011-10,9.421,
2012-01,7.298,
2012-04,7.078,
2012-07,7.201,
2012-10,7.304,
2013-01,7.291,
2013-04,6.725,
2013-07,6.061,
2013-10,5.978,
2014-01,5.779,
2014-04,6.264,
2014-07,6.425,
