"",BBFB1.Q.N.DE.S3.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:40,
1991-01,-58.845,
1991-04,-24.432,
1991-07,-43.915,
1991-10,-72.582,
1992-01,-101.629,
1992-04,-111.113,
1992-07,-158.975,
1992-10,-108.006,
1993-01,-106.194,
1993-04,-101.487,
1993-07,-106.275,
1993-10,-128.100,
1994-01,-133.476,
1994-04,-101.471,
1994-07,-142.780,
1994-10,-148.728,
1995-01,-144.637,
1995-04,-149.387,
1995-07,-139.681,
1995-10,-168.128,
1996-01,-154.469,
1996-04,-130.294,
1996-07,-96.986,
1996-10,-148.035,
1997-01,-132.713,
1997-04,-117.553,
1997-07,-84.762,
1997-10,-88.210,
1998-01,-111.635,
1998-04,-80.901,
1998-07,-66.930,
1998-10,-119.663,
1999-01,-134.983,
1999-04,-89.721,
1999-07,-109.565,
1999-10,-210.824,
2000-01,-212.799,
2000-04,-271.017,
2000-07,-126.317,
2000-10,-236.476,
2001-01,-202.007,
2001-04,-179.999,
2001-07,-99.986,
2001-10,-80.310,
2002-01,-68.794,
2002-04,-91.012,
2002-07,-94.875,
2002-10,-62.634,
2003-01,-177.406,
2003-04,-42.348,
2003-07,-34.823,
2003-10,-83.710,
2004-01,-129.524,
2004-04,-17.023,
2004-07,-100.475,
2004-10,-147.063,
2005-01,-80.882,
2005-04,-71.188,
2005-07,-43.161,
2005-10,-147.661,
2006-01,-215.791,
2006-04,-185.226,
2006-07,-89.765,
2006-10,-138.394,
2007-01,-140.227,
2007-04,-153.790,
2007-07,-156.678,
2007-10,-142.263,
2008-01,-79.067,
2008-04,-88.566,
2008-07,-57.676,
2008-10,-2.334,
2009-01,-32.736,
2009-04,83.679,
2009-07,96.986,
2009-10,-33.578,
2010-01,-172.772,
2010-04,71.446,
2010-07,76.339,
2010-10,-58.294,
2011-01,-378.256,
2011-04,-55.041,
2011-07,-162.930,
2011-10,-282.099,
2012-01,-312.374,
2012-04,-112.067,
2012-07,-158.580,
2012-10,-201.766,
2013-01,-482.353,
2013-04,-297.904,
2013-07,-63.938,
2013-10,-357.204,
2014-01,-337.276,Provisional value
2014-04,-167.928,Provisional value
2014-07,-172.598,Provisional value
