"",BBSF2.M.1.S.A0000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.A0000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net asset value / Non-residents / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:06,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,416,
1994-01,416,
1994-02,416,
1994-03,416,
1994-04,561,
1994-05,562,
1994-06,567,
1994-07,568,
1994-08,570,
1994-09,579,
1994-10,585,
1994-11,591,
1994-12,599,
1995-01,601,
1995-02,604,
1995-03,607,
1995-04,608,
1995-05,611,
1995-06,610,
1995-07,628,
1995-08,631,
1995-09,627,
1995-10,627,
1995-11,629,
1995-12,627,
1996-01,628,
1996-02,631,
1996-03,633,
1996-04,631,
1996-05,633,
1996-06,637,
1996-07,622,
1996-08,622,
1996-09,622,
1996-10,622,
1996-11,676,
1996-12,679,
1997-01,676,
1997-02,677,
1997-03,660,
1997-04,633,
1997-05,625,
1997-06,622,
1997-07,623,
1997-08,624,
1997-09,595,
1997-10,592,
1997-11,594,
1997-12,596,
1998-01,593,
1998-02,594,
1998-03,592,
1998-04,591,
1998-05,591,
1998-06,587,
1998-07,584,
1998-08,580,
1998-09,579,
1998-10,577,
1998-11,578,
1998-12,586,
1999-01,514,
1999-02,515,
1999-03,515,
1999-04,514,
1999-05,525,
1999-06,524,
1999-07,566,
1999-08,571,
1999-09,577,
1999-10,577,
1999-11,592,
1999-12,879,
2000-01,899,
2000-02,902,
2000-03,904,
2000-04,901,
2000-05,910,
2000-06,918,
2000-07,922,
2000-08,928,
2000-09,964,
2000-10,981,
2000-11,1015,
2000-12,1093,
2001-01,1045,
2001-02,1060,
2001-03,1059,
2001-04,1064,
2001-05,1109,
2001-06,1164,
2001-07,1207,
2001-08,1228,
2001-09,1290,
2001-10,1371,
2001-11,1391,
2001-12,1439,
2002-01,1440,
2002-02,1448,
2002-03,1461,
2002-04,1485,
2002-05,1517,
2002-06,1538,
2002-07,1540,
2002-08,1551,
2002-09,1584,
2002-10,1604,
2002-11,1599,
2002-12,1578,
2003-01,1577,
2003-02,1582,
2003-03,1585,
2003-04,1588,
2003-05,1598,
2003-06,1613,
2003-07,1655,
2003-08,1665,
2003-09,1673,
2003-10,1674,
2003-11,1684,
2003-12,1635,
2004-01,1643,
2004-02,1613,
2004-03,1649,
2004-04,1653,
2004-05,1662,
2004-06,1654,
2004-07,1653,
2004-08,1603,
2004-09,1614,
2004-10,1636,
2004-11,1632,
2004-12,1051,
2005-01,1055,
2005-02,1011,
2005-03,1020,
2005-04,1014,
2005-05,1018,
2005-06,1035,
2005-07,1040,
2005-08,1008,
2005-09,1032,
2005-10,1037,
2005-11,1023,
2005-12,961,
2006-01,955,
2006-02,955,
2006-03,958,
2006-04,948,
2006-05,904,
2006-06,907,
2006-07,911,
2006-08,903,
2006-09,904,
2006-10,911,
2006-11,921,
2006-12,900,
2007-01,913,
2007-02,914,
2007-03,1146,
2007-04,1152,
2007-05,1153,
2007-06,1144,
2007-07,1173,
2007-08,1170,
2007-09,1064,
2007-10,1066,
2007-11,1073,
2007-12,1015,
2008-01,1004,
2008-02,1002,
2008-03,1001,
2008-04,1003,
2008-05,1006,
2008-06,992,
2008-07,996,
2008-08,1000,
2008-09,998,
2008-10,1002,
2008-11,999,
2008-12,981,
2009-01,981,
2009-02,975,
2009-03,978,
2009-04,971,
2009-05,975,
2009-06,972,
2009-07,980,
2009-08,966,
2009-09,1315,
2009-10,1343,
2009-11,1085,
2009-12,1060,
2010-01,1082,
2010-02,1075,
2010-03,1077,
2010-04,1069,
2010-05,1103,
2010-06,1089,
2010-07,1158,
2010-08,1165,
2010-09,1158,
2010-10,1198,
2010-11,1205,
2010-12,1291,
2011-01,1291,
2011-02,1284,
2011-03,1320,
2011-04,1353,
2011-05,1485,
2011-06,1535,
2011-07,1536,
2011-08,1477,
2011-09,3162,
2011-10,3191,
2011-11,3275,
2011-12,3268,
2012-01,3298,
2012-02,3387,
2012-03,3293,
2012-04,3310,
2012-05,3380,
2012-06,3668,
2012-07,3789,
2012-08,3797,
2012-09,3686,
2012-10,3777,
2012-11,3876,
2012-12,3844,
2013-01,3886,
2013-02,3737,
2013-03,3872,
2013-04,3910,
2013-05,3962,
2013-06,3965,
2013-07,4375,
2013-08,4407,
2013-09,4463,
2013-10,4451,
2013-11,4466,
2013-12,4421,
2014-01,4379,
2014-02,4311,
2014-03,4393,
2014-04,4400,
2014-05,4410,
2014-06,4413,
2014-07,4425,
2014-08,4428,
2014-09,4419,
2014-10,4449,
2014-11,4578,
