"",BBFN1.M.DE.N.1.A.FR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / France,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:08,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,7.422,
1995-01,7.574,
1995-02,7.526,
1995-03,7.757,
1995-04,7.752,
1995-05,7.844,
1995-06,7.955,
1995-07,7.819,
1995-08,7.461,
1995-09,7.611,
1995-10,7.495,
1995-11,7.661,
1995-12,7.045,
1996-01,7.112,
1996-02,6.976,
1996-03,7.198,
1996-04,7.256,
1996-05,7.269,
1996-06,7.306,
1996-07,7.161,
1996-08,6.714,
1996-09,6.988,
1996-10,7.008,
1996-11,7.139,
1996-12,6.875,
1997-01,6.980,
1997-02,6.948,
1997-03,7.256,
1997-04,7.515,
1997-05,7.341,
1997-06,7.629,
1997-07,7.588,
1997-08,7.182,
1997-09,7.429,
1997-10,7.742,
1997-11,7.914,
1997-12,7.795,
1998-01,8.010,
1998-02,8.211,
1998-03,8.404,
1998-04,8.424,
1998-05,8.412,
1998-06,8.478,
1998-07,8.387,
1998-08,7.893,
1998-09,8.108,
1998-10,8.397,
1998-11,8.417,
1998-12,8.001,
1999-01,8.137,
1999-02,8.425,
1999-03,8.552,
1999-04,8.491,
1999-05,8.664,
1999-06,9.029,
1999-07,8.962,
1999-08,8.529,
1999-09,8.536,
1999-10,9.115,
1999-11,9.522,
1999-12,9.187,
2000-01,9.343,
2000-02,9.689,
2000-03,10.238,
2000-04,10.098,
2000-05,10.174,
2000-06,10.304,
2000-07,10.397,
2000-08,10.051,
2000-09,10.365,
2000-10,10.757,
2000-11,11.108,
2000-12,11.099,
2001-01,11.055,
2001-02,11.202,
2001-03,11.665,
2001-04,11.120,
2001-05,11.152,
2001-06,11.432,
2001-07,11.253,
2001-08,11.112,
2001-09,11.484,
2001-10,10.689,
2001-11,11.074,
2001-12,10.732,
2002-01,10.318,
2002-02,10.180,
2002-03,10.091,
2002-04,10.111,
2002-05,10.043,
2002-06,10.252,
2002-07,10.057,
2002-08,9.701,
2002-09,9.665,
2002-10,10.058,
2002-11,10.237,
2002-12,9.841,
2003-01,9.807,
2003-02,9.675,
2003-03,10.289,
2003-04,10.093,
2003-05,9.906,
2003-06,10.046,
2003-07,9.685,
2003-08,9.292,
2003-09,9.342,
2003-10,9.736,
2003-11,10.372,
2003-12,9.883,
2004-01,9.479,
2004-02,10.682,
2004-03,10.291,
2004-04,10.316,
2004-05,10.383,
2004-06,10.762,
2004-07,10.365,
2004-08,9.720,
2004-09,10.078,
2004-10,10.433,
2004-11,11.147,
2004-12,10.697,
2005-01,10.530,
2005-02,10.446,
2005-03,11.020,
2005-04,11.175,
2005-05,10.882,
2005-06,11.298,
2005-07,11.148,
2005-08,10.181,
2005-09,10.855,
2005-10,10.917,
2005-11,11.850,
2005-12,11.323,
2006-01,11.559,
2006-02,10.969,
2006-03,11.331,
2006-04,11.245,
2006-05,11.263,
2006-06,11.613,
2006-07,11.137,
2006-08,10.189,
2006-09,11.194,
2006-10,10.838,
2006-11,11.624,
2006-12,11.450,
2007-01,11.206,
2007-02,11.320,
2007-03,11.921,
2007-04,11.410,
2007-05,11.487,
2007-06,11.916,
2007-07,11.242,
2007-08,10.659,
2007-09,11.353,
2007-10,11.452,
2007-11,11.947,
2007-12,11.405,
2008-01,11.423,
2008-02,12.174,
2008-03,12.025,
2008-04,12.634,
2008-05,12.646,
2008-06,12.836,
2008-07,12.249,
2008-08,11.261,
2008-09,11.848,
2008-10,12.246,
2008-11,11.948,
2008-12,11.312,
2009-01,10.948,
2009-02,10.509,
2009-03,10.314,
2009-04,9.951,
2009-05,9.988,
2009-06,10.005,
2009-07,9.956,
2009-08,9.249,
2009-09,9.593,
2009-10,10.162,
2009-11,10.349,
2009-12,9.883,
2010-01,9.697,
2010-02,9.527,
2010-03,10.458,
2010-04,9.936,
2010-05,9.827,
2010-06,10.390,
2010-07,10.077,
2010-08,9.099,
2010-09,10.378,
2010-10,10.709,
2010-11,10.863,
2010-12,10.388,
2011-01,10.598,
2011-02,11.392,
2011-03,11.779,
2011-04,11.512,
2011-05,11.665,
2011-06,11.653,
2011-07,11.027,
2011-08,10.034,
2011-09,10.881,
2011-10,10.829,
2011-11,11.143,
2011-12,10.922,
2012-01,10.942,
2012-02,11.158,
2012-03,11.621,
2012-04,10.975,
2012-05,10.408,
2012-06,11.275,
2012-07,10.772,
2012-08,10.116,
2012-09,10.405,
2012-10,10.845,
2012-11,11.443,
2012-12,11.105,
2013-01,10.782,
2013-02,10.610,
2013-03,11.675,
2013-04,11.570,
2013-05,11.047,
2013-06,11.370,
2013-07,11.030,
2013-08,10.348,
2013-09,10.516,
2013-10,10.886,
2013-11,11.373,
2013-12,11.231,
2014-01,11.260,
2014-02,11.389,
2014-03,12.072,
2014-04,11.378,
2014-05,11.485,
2014-06,11.680,
2014-07,11.342,
2014-08,10.880,
2014-09,11.189,
2014-10,11.758,
2014-11,12.083,
2014-12,12.331,
