"",BBK01.OEAC45L,BBK01.OEAC45L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:21,
2002-01,0.273,
2002-04,0.267,
2002-07,0.266,
2002-10,0.251,
2003-01,0.293,
2003-04,0.279,
2003-07,0.295,
2003-10,0.250,
2004-01,0.251,
2004-04,0.236,
2004-07,0.240,
2004-10,0.249,
2005-01,0.250,
2005-04,0.248,
2005-07,0.253,
2005-10,0.230,
2006-01,0.211,
2006-04,0.223,
2006-07,0.227,
2006-10,0.205,
2007-01,0.212,
2007-04,0.229,
2007-07,0.230,
2007-10,0.244,
2008-01,0.236,
2008-04,0.255,
2008-07,0.281,
2008-10,0.389,
2009-01,0.427,
2009-04,0.425,
2009-07,0.392,
2009-10,0.382,
2010-01,0.530,
2010-04,0.514,
2010-07,0.477,
2010-10,0.440,
2011-01,0.554,
2011-04,0.347,
2011-07,0.342,
2011-10,0.347,
2012-01,0.324,
2012-04,0.296,
2012-07,0.307,
2012-10,0.287,
2013-01,0.315,
2013-04,0.352,
2013-07,0.333,
2013-10,0.340,
2014-01,0.323,
2014-04,0.328,
2014-07,0.322,
