"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.U2.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.U2.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Euro area (changing composition) / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:28,
2009-09,24041,
2009-10,23670,
2009-11,24322,
2009-12,23581,
2010-01,24604,
2010-02,24458,
2010-03,25016,
2010-04,24760,
2010-05,25319,
2010-06,25619,
2010-07,25741,
2010-08,26263,
2010-09,25957,
2010-10,24811,
2010-11,24803,
2010-12,24398,
2011-01,23288,
2011-02,23181,
2011-03,23299,
2011-04,22961,
2011-05,23302,
2011-06,22882,
2011-07,22683,
2011-08,22112,
2011-09,21487,
2011-10,21290,
2011-11,21156,
2011-12,20899,
2012-01,21091,
2012-02,21845,
2012-03,21839,
2012-04,21925,
2012-05,21414,
2012-06,20623,
2012-07,21194,
2012-08,21470,
2012-09,21326,
2012-10,21493,
2012-11,21377,
2012-12,21233,
2013-01,20634,
2013-02,20474,
2013-03,20370,
2013-04,20339,
2013-05,20459,
2013-06,20412,
2013-07,20102,
2013-08,20607,
2013-09,20582,
2013-10,20512,
2013-11,20259,
2013-12,20238,
2014-01,20932,
2014-02,20451,
2014-03,20438,
2014-04,20506,
2014-05,20838,
2014-06,20851,
2014-07,20752,
2014-08,20966,
2014-09,21261,
2014-10,21527,
2014-11,21521,
