"",BBK01.OELL07H,BBK01.OELL07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:19,
2002-01,36.823,
2002-04,36.534,
2002-07,36.354,
2002-10,37.264,
2003-01,37.515,
2003-04,37.476,
2003-07,37.475,
2003-10,38.566,
2004-01,38.802,
2004-04,38.874,
2004-07,38.983,
2004-10,39.945,
2005-01,40.179,
2005-04,40.060,
2005-07,39.954,
2005-10,40.617,
2006-01,40.459,
2006-04,39.945,
2006-07,39.168,
2006-10,38.971,
2007-01,37.949,
2007-04,37.166,
2007-07,36.343,
2007-10,36.270,
2008-01,35.334,
2008-04,34.419,
2008-07,33.226,
2008-10,33.738,
2009-01,34.738,
2009-04,35.892,
2009-07,37.075,
2009-10,39.130,
2010-01,40.389,
2010-04,40.877,
2010-07,41.046,
2010-10,41.699,
2011-01,41.942,
2011-04,42.110,
2011-07,41.964,
2011-10,42.585,
2012-01,42.654,
2012-04,42.684,
2012-07,42.434,
2012-10,43.048,
2013-01,43.079,
2013-04,42.927,
2013-07,42.871,
2013-10,43.717,
2014-01,43.781,
2014-04,43.813,
2014-07,43.751,
