"",BBK01.OELB13R,BBK01.OELB13R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:09,
2002-01,0.598,
2002-04,0.611,
2002-07,0.603,
2002-10,0.594,
2003-01,0.597,
2003-04,0.598,
2003-07,0.577,
2003-10,0.562,
2004-01,0.553,
2004-04,0.561,
2004-07,0.591,
2004-10,0.536,
2005-01,0.531,
2005-04,0.530,
2005-07,0.520,
2005-10,0.509,
2006-01,0.505,
2006-04,0.508,
2006-07,0.501,
2006-10,0.492,
2007-01,0.494,
2007-04,0.502,
2007-07,0.492,
2007-10,0.491,
2008-01,0.494,
2008-04,0.505,
2008-07,0.502,
2008-10,0.499,
2009-01,0.516,
2009-04,0.523,
2009-07,0.504,
2009-10,0.510,
2010-01,0.520,
2010-04,0.523,
2010-07,0.519,
2010-10,0.523,
2011-01,0.530,
2011-04,0.542,
2011-07,0.554,
2011-10,0.570,
2012-01,0.579,
2012-04,0.992,
2012-07,0.993,
2012-10,0.986,
2013-01,0.999,
2013-04,1.014,
2013-07,1.012,
2013-10,1.019,
2014-01,1.032,
2014-04,1.035,
2014-07,1.037,
