"",BBK01.OEAH69O,BBK01.OEAH69O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:13,
2002-01,5.280,
2002-04,4.946,
2002-07,4.870,
2002-10,4.857,
2003-01,4.681,
2003-04,4.477,
2003-07,4.365,
2003-10,4.395,
2004-01,4.465,
2004-04,4.297,
2004-07,4.240,
2004-10,4.345,
2005-01,4.725,
2005-04,4.762,
2005-07,4.349,
2005-10,4.624,
2006-01,4.911,
2006-04,5.071,
2006-07,5.135,
2006-10,5.281,
2007-01,5.271,
2007-04,5.025,
2007-07,5.045,
2007-10,5.133,
2008-01,4.866,
2008-04,4.439,
2008-07,3.925,
2008-10,4.061,
2009-01,4.257,
2009-04,4.832,
2009-07,5.496,
2009-10,6.087,
2010-01,6.308,
2010-04,6.043,
2010-07,5.700,
2010-10,5.511,
2011-01,5.328,
2011-04,5.082,
2011-07,4.967,
2011-10,4.610,
2012-01,4.591,
2012-04,4.555,
2012-07,4.545,
2012-10,4.545,
2013-01,4.629,
2013-04,4.466,
2013-07,4.306,
2013-10,4.279,
2014-01,4.141,
2014-04,4.125,
2014-07,4.227,
