"",BBK01.TS5379O,BBK01.TS5379O_FLAGS
"","Marketable instruments (from June 2010, excluding repos with central counterparties) / German contribution / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:05,
1999-01,37.0,
1999-02,38.8,
1999-03,41.6,
1999-04,48.9,
1999-05,55.7,
1999-06,54.5,
1999-07,54.1,
1999-08,55.6,
1999-09,61.1,
1999-10,63.6,
1999-11,73.9,
1999-12,75.1,
2000-01,72.5,
2000-02,73.5,
2000-03,74.8,
2000-04,74.0,
2000-05,75.6,
2000-06,74.4,
2000-07,74.9,
2000-08,74.4,
2000-09,70.7,
2000-10,72.9,
2000-11,71.1,
2000-12,72.9,
2001-01,72.8,
2001-02,74.9,
2001-03,76.6,
2001-04,78.2,
2001-05,80.8,
2001-06,82.1,
2001-07,86.3,
2001-08,90.9,
2001-09,93.4,
2001-10,98.1,
2001-11,95.6,
2001-12,100.9,
2002-01,96.4,
2002-02,96.3,
2002-03,97.4,
2002-04,98.6,
2002-05,103.1,
2002-06,99.7,
2002-07,101.7,
2002-08,103.6,
2002-09,107.1,
2002-10,110.3,
2002-11,110.8,
2002-12,116.1,
2003-01,110.4,
2003-02,121.2,
2003-03,115.3,
2003-04,116.5,
2003-05,114.9,
2003-06,112.7,
2003-07,112.7,
2003-08,104.2,
2003-09,107.0,
2003-10,110.0,
2003-11,112.8,
2003-12,119.5,
2004-01,114.2,
2004-02,110.5,
2004-03,111.6,
2004-04,110.2,
2004-05,109.9,
2004-06,109.4,
2004-07,112.3,
2004-08,109.2,
2004-09,107.4,
2004-10,106.9,
2004-11,105.8,
2004-12,104.4,
2005-01,106.2,
2005-02,111.5,
2005-03,108.7,
2005-04,110.4,
2005-05,108.6,
2005-06,112.1,
2005-07,113.1,
2005-08,116.7,
2005-09,113.1,
2005-10,115.9,
2005-11,114.2,
2005-12,113.0,
2006-01,112.6,
2006-02,110.6,
2006-03,119.1,
2006-04,115.7,
2006-05,121.0,
2006-06,120.1,
2006-07,117.1,
2006-08,121.8,
2006-09,122.8,
2006-10,117.9,
2006-11,112.7,
2006-12,114.6,
2007-01,121.3,
2007-02,122.5,
2007-03,129.0,
2007-04,125.2,
2007-05,126.4,
2007-06,131.6,
2007-07,135.1,
2007-08,128.2,
2007-09,126.0,
2007-10,122.5,
2007-11,132.3,
2007-12,130.2,
2008-01,145.5,
2008-02,142.6,
2008-03,141.5,
2008-04,149.6,
2008-05,144.5,
2008-06,147.4,
2008-07,147.4,
2008-08,142.9,
2008-09,143.0,
2008-10,142.6,
2008-11,156.8,
2008-12,162.2,
2009-01,152.3,
2009-02,154.4,
2009-03,151.6,
2009-04,160.3,
2009-05,159.1,
2009-06,149.6,
2009-07,145.1,
2009-08,128.2,
2009-09,134.5,
2009-10,133.2,
2009-11,129.1,
2009-12,139.9,
2010-01,130.0,
2010-02,133.5,
2010-03,133.8,
2010-04,149.8,
2010-05,150.5,
2010-06,65.9,
2010-07,57.9,
2010-08,56.9,
2010-09,60.2,
2010-10,54.7,
2010-11,56.1,
2010-12,54.2,
2011-01,51.8,
2011-02,49.1,
2011-03,48.5,
2011-04,48.8,
2011-05,45.7,
2011-06,49.2,
2011-07,46.4,
2011-08,48.4,
2011-09,44.6,
2011-10,37.9,
2011-11,41.9,
2011-12,39.5,
2012-01,38.1,
2012-02,39.3,
2012-03,36.8,
2012-04,36.6,
2012-05,32.7,
2012-06,32.0,
2012-07,35.9,
2012-08,32.6,
2012-09,32.0,
2012-10,33.6,
2012-11,33.4,
2012-12,31.0,
2013-01,28.9,
2013-02,31.3,
2013-03,30.7,
2013-04,36.0,
2013-05,32.0,
2013-06,28.7,
2013-07,31.8,
2013-08,27.4,
2013-09,26.3,
2013-10,31.2,
2013-11,25.6,
2013-12,25.2,
2014-01,23.9,
2014-02,25.5,
2014-03,20.4,
2014-04,22.6,
2014-05,20.7,
2014-06,25.3,
2014-07,26.3,
2014-08,29.8,
2014-09,27.7,
2014-10,29.2,
2014-11,29.5,
2014-12,23.7,Provisional value
2015-01,29.7,
