"",BBK01.OEAN02L,BBK01.OEAN02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:58,
2002-01,29.896,
2002-04,29.413,
2002-07,30.041,
2002-10,31.290,
2003-01,31.737,
2003-04,31.821,
2003-07,32.006,
2003-10,32.895,
2004-01,33.325,
2004-04,33.352,
2004-07,33.816,
2004-10,34.841,
2005-01,38.278,
2005-04,38.214,
2005-07,37.690,
2005-10,38.373,
2006-01,38.489,
2006-04,38.678,
2006-07,38.761,
2006-10,39.095,
2007-01,38.486,
2007-04,37.349,
2007-07,35.820,
2007-10,34.373,
2008-01,32.522,
2008-04,31.435,
2008-07,30.468,
2008-10,31.375,
2009-01,32.539,
2009-04,34.136,
2009-07,36.468,
2009-10,38.569,
2010-01,39.842,
2010-04,37.592,
2010-07,37.546,
2010-10,38.373,
2011-01,38.747,
2011-04,36.630,
2011-07,36.217,
2011-10,36.059,
2012-01,35.939,
2012-04,35.219,
2012-07,34.309,
2012-10,33.811,
2013-01,32.935,
2013-04,32.506,
2013-07,32.211,
2013-10,32.293,
2014-01,31.465,
2014-04,30.558,
2014-07,30.316,
