"",BBK01.OEAE02L,BBK01.OEAE02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:04,
2002-01,22.092,
2002-04,22.013,
2002-07,24.074,
2002-10,20.174,
2003-01,21.469,
2003-04,21.412,
2003-07,21.092,
2003-10,21.064,
2004-01,20.962,
2004-04,21.536,
2004-07,22.070,
2004-10,22.354,
2005-01,22.632,
2005-04,22.387,
2005-07,23.731,
2005-10,23.137,
2006-01,22.798,
2006-04,22.104,
2006-07,20.761,
2006-10,20.073,
2007-01,19.576,
2007-04,19.587,
2007-07,20.209,
2007-10,20.294,
2008-01,19.906,
2008-04,18.301,
2008-07,17.858,
2008-10,17.197,
2009-01,17.808,
2009-04,18.209,
2009-07,16.525,
2009-10,16.239,
2010-01,18.002,
2010-04,17.663,
2010-07,15.590,
2010-10,15.775,
2011-01,15.260,
2011-04,15.604,
2011-07,15.267,
2011-10,14.667,
2012-01,14.581,
2012-04,14.307,
2012-07,14.039,
2012-10,14.285,
2013-01,13.987,
2013-04,14.187,
2013-07,14.219,
2013-10,14.307,
2014-01,14.077,
2014-04,13.847,
2014-07,13.692,
