"",BBK01.OEAF09N,BBK01.OEAF09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:42,
2002-01,0.591,
2002-04,0.599,
2002-07,0.569,
2002-10,0.586,
2003-01,0.577,
2003-04,0.579,
2003-07,0.569,
2003-10,0.562,
2004-01,0.562,
2004-04,0.567,
2004-07,0.546,
2004-10,0.590,
2005-01,0.587,
2005-04,0.628,
2005-07,0.737,
2005-10,0.738,
2006-01,1.280,
2006-04,1.279,
2006-07,1.279,
2006-10,1.286,
2007-01,1.273,
2007-04,1.245,
2007-07,1.252,
2007-10,1.235,
2008-01,1.197,
2008-04,1.179,
2008-07,1.146,
2008-10,1.201,
2009-01,1.179,
2009-04,1.043,
2009-07,1.243,
2009-10,1.248,
2010-01,1.252,
2010-04,1.270,
2010-07,1.337,
2010-10,1.321,
2011-01,1.316,
2011-04,1.312,
2011-07,1.296,
2011-10,1.303,
2012-01,1.318,
2012-04,1.306,
2012-07,1.300,
2012-10,1.292,
2013-01,1.293,
2013-04,1.321,
2013-07,1.267,
2013-10,1.311,
2014-01,1.361,
2014-04,1.344,
2014-07,1.330,
