"",BBK01.OEAD07L,BBK01.OEAD07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:53,
2002-01,2.374,
2002-04,2.435,
2002-07,2.230,
2002-10,2.068,
2003-01,2.018,
2003-04,1.961,
2003-07,2.009,
2003-10,1.947,
2004-01,2.131,
2004-04,1.748,
2004-07,1.761,
2004-10,1.619,
2005-01,1.581,
2005-04,1.711,
2005-07,1.700,
2005-10,1.603,
2006-01,1.650,
2006-04,1.668,
2006-07,1.593,
2006-10,1.730,
2007-01,2.035,
2007-04,1.949,
2007-07,2.038,
2007-10,2.040,
2008-01,2.227,
2008-04,2.202,
2008-07,2.534,
2008-10,2.144,
2009-01,2.194,
2009-04,2.015,
2009-07,1.930,
2009-10,1.881,
2010-01,1.837,
2010-04,1.868,
2010-07,1.767,
2010-10,1.820,
2011-01,1.765,
2011-04,1.747,
2011-07,1.613,
2011-10,1.492,
2012-01,1.585,
2012-04,1.617,
2012-07,1.362,
2012-10,1.271,
2013-01,1.243,
2013-04,1.165,
2013-07,1.273,
2013-10,1.419,
2014-01,1.237,
2014-04,1.211,
2014-07,1.383,
