"",BBEX3.M.CHF.USD.CA.AA.A02,BBEX3.M.CHF.USD.CA.AA.A02_FLAGS
"",Exchange rates for the US dollar in Switzerland / USD 1 = CHF ... (buying),
unit,CHF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:43,
1980-01,1.5787,
1980-02,1.6220,
1980-03,1.7475,
1980-04,1.7385,
1980-05,1.6464,
1980-06,1.6175,
1980-07,1.5911,
1980-08,1.6360,
1980-09,1.6235,
1980-10,1.6443,
1980-11,1.7116,
1980-12,1.7700,
1981-01,1.8055,
1981-02,1.9316,
1981-03,1.9092,
1981-04,1.9553,
1981-05,2.0467,
1981-06,2.0550,
1981-07,2.0803,
1981-08,2.1538,
1981-09,2.0138,
1981-10,1.8692,
1981-11,1.7708,
1981-12,1.7999,
1982-01,1.8278,
1982-02,1.8760,
1982-03,1.8720,
1982-04,1.9451,
1982-05,1.9299,
1982-06,2.0630,
1982-07,2.0802,
1982-08,2.0928,
1982-09,2.1201,
1982-10,2.1545,
1982-11,2.1822,
1982-12,2.0350,
1983-01,1.9512,
1983-02,1.9990,
1983-03,2.0465,
1983-04,2.0395,
1983-05,2.0451,
1983-06,2.0958,
1983-07,2.0994,
1983-08,2.1472,
1983-09,2.1488,
1983-10,2.0952,
1983-11,2.1543,
1983-12,2.1808,
1984-01,2.2210,
1984-02,2.1923,
1984-03,2.1326,
1984-04,2.1720,
1984-05,2.2521,
1984-06,2.2674,
1984-07,2.3903,
1984-08,2.4016,
1984-09,2.4843,
1984-10,2.5088,
1984-11,2.4492,
1984-12,2.5413,
1985-01,2.6430,
1985-02,2.7810,
1985-03,2.7980,
1985-04,2.5726,
1985-05,2.6031,
1985-06,2.5559,
1985-07,2.3989,
1985-08,2.2775,
1985-09,2.3192,
1985-10,2.1534,
1985-11,2.1140,
1985-12,2.0917,
1986-01,2.0542,
1986-02,1.9408,
1986-03,1.8911,
1986-04,1.8880,
1986-05,1.8395,
1986-06,1.8270,
1986-07,1.7301,
1986-08,1.6464,
1986-09,1.6375,
1986-10,1.6261,
1986-11,1.6716,
1986-12,1.6527,
1987-01,1.5411,
1987-02,1.5258,
1987-03,1.5225,
1987-04,1.4807,
1987-05,1.4530,
1987-06,1.4932,
1987-07,1.5201,
1987-08,1.5225,
1987-09,1.4861,
1987-10,1.4809,
1987-11,1.3671,
1987-12,1.3152,
1988-01,1.3293,
1988-02,1.3767,
1988-03,1.3713,
1988-04,1.3680,
1988-05,1.3971,
1988-06,1.4449,
1988-07,1.5164,
1988-08,1.5684,
1988-09,1.5623,
1988-10,1.5260,
1988-11,1.4526,
1988-12,1.4636,
1989-01,1.5437,
1989-02,1.5601,
1989-03,1.5905,
1989-04,1.6321,
1989-05,1.7181,
1989-06,1.6949,
1989-07,1.6157,
1989-08,1.6468,
1989-09,1.6725,
1989-10,1.6158,
1989-11,1.6028,
1989-12,1.5539,
1990-01,1.4998,
1990-02,1.4729,
1990-03,1.4969,
1990-04,1.4730,
1990-05,1.4036,
1990-06,1.4094,
1990-07,1.3789,
1990-08,1.2935,
1990-09,1.2910,
1990-10,1.2663,
1990-11,1.2420,
1990-12,1.2631,
1991-01,1.2571,
1991-02,1.2502,
1991-03,1.3673,
1991-04,1.4231,
1991-05,1.4354,
1991-06,1.5127,
1991-07,1.5306,
1991-08,1.5012,
1991-09,1.4665,
1991-10,1.4600,
1991-11,1.4187,
1991-12,1.3751,
1992-01,1.3858,
1992-02,1.4386,
1992-03,1.4896,
1992-04,1.4976,
1992-05,1.4721,
1992-06,1.4087,
1992-07,1.3180,
1992-08,1.2841,
1992-09,1.2600,
1992-10,1.2996,
1992-11,1.4121,
1992-12,1.4027,
1993-01,1.4602,
1993-02,1.4998,
1993-03,1.5008,
1993-04,1.4394,
1993-05,1.4305,
1993-06,1.4552,
1993-07,1.4946,
1993-08,1.4787,
1993-09,1.4010,
1993-10,1.4229,
1993-11,1.4786,
1993-12,1.4471,
1994-01,1.4529,
1994-02,1.4399,
1994-03,1.4113,
1994-04,1.4208,
1994-05,1.3958,
1994-06,1.3583,
1994-07,1.3086,
1994-08,1.3011,
1994-09,1.2761,
1994-10,1.2493,
1994-11,1.2792,
1994-12,1.3129,
1995-01,1.2701,
1995-02,1.2554,
1995-03,1.1574,
1995-04,1.1235,
1995-05,1.1526,
1995-06,1.1436,
1995-07,1.1418,
1995-08,1.1836,
1995-09,1.1752,
1995-10,1.1318,
1995-11,1.1285,
1995-12,1.1495,
1996-01,1.1663,
1996-02,1.1799,
1996-03,1.1813,
1996-04,1.2035,
1996-05,1.2389,
1996-06,1.2412,
1996-07,1.2182,
1996-08,1.1878,
1996-09,1.2165,
1996-10,1.2426,
1996-11,1.2584,
1996-12,1.3094,
1997-01,1.3736,
1997-02,1.4353,
1997-03,1.4472,
1997-04,1.4427,
1997-05,1.4117,
1997-06,1.4221,
1997-07,1.4619,
1997-08,1.4937,
1997-09,1.4548,
1997-10,1.4335,
1997-11,1.3897,
1997-12,1.4205,
