"",BBK01.CEH9N0,BBK01.CEH9N0_FLAGS
"",Other mutual funds shares\n debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:41,
1991-01,1.3,
1991-04,1.5,
1991-07,2.9,
1991-10,0.8,
1992-01,4.0,
1992-04,4.1,
1992-07,8.0,
1992-10,15.1,
1993-01,13.1,
1993-04,7.5,
1993-07,4.2,
1993-10,-15.2,
1994-01,2.2,
1994-04,0.1,
1994-07,-0.2,
1994-10,0.8,
1995-01,-0.9,
1995-04,0.4,
1995-07,0.2,
1995-10,0.4,
1996-01,2.3,
1996-04,2.0,
1996-07,0.6,
1996-10,0.0,
1997-01,0.8,
1997-04,1.1,
1997-07,3.0,
1997-10,-0.1,
1998-01,2.5,
1998-04,3.2,
1998-07,1.1,
1998-10,0.6,
1999-01,2.5,
1999-04,2.1,
1999-07,2.5,
1999-10,6.5,
2000-01,14.3,
2000-04,7.8,
2000-07,7.1,
2000-10,4.5,
2001-01,4.7,
2001-04,3.9,
2001-07,2.8,
2001-10,4.1,
2002-01,3.7,
2002-04,1.4,
2002-07,0.1,
2002-10,-0.4,
2003-01,-0.3,
2003-04,0.6,
2003-07,0.4,
2003-10,1.3,
2004-01,7.0,
2004-04,2.6,
2004-07,3.5,
2004-10,1.5,
2005-01,16.7,
2005-04,8.2,
2005-07,12.5,
2005-10,6.6,
2006-01,13.0,
2006-04,-2.5,
2006-07,13.7,
2006-10,2.7,
2007-01,-4.2,
2007-04,-2.9,
2007-07,-12.7,
2007-10,-3.2,
2008-01,-9.6,
2008-04,-18.2,
2008-07,-5.8,
2008-10,2.5,
2009-01,1.5,
2009-04,0.3,
2009-07,12.0,
2009-10,-2.3,
2010-01,4.3,
2010-04,12.5,
2010-07,3.3,
2010-10,-5.7,
2011-01,3.2,
2011-04,11.3,
2011-07,-7.5,
2011-10,-6.0,
2012-01,13.0,
2012-04,-1.2,
2012-07,4.9,
2012-10,7.9,
2013-01,21.8,
2013-04,-3.8,
2013-07,8.3,
2013-10,10.0,
2014-01,7.5,
