"",BBK01.OEXB13N,BBK01.OEXB13N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:00,
2002-01,7.694,
2002-04,7.799,
2002-07,7.868,
2002-10,7.942,
2003-01,7.785,
2003-04,7.809,
2003-07,7.829,
2003-10,7.899,
2004-01,7.625,
2004-04,7.851,
2004-07,7.920,
2004-10,6.446,
2005-01,6.480,
2005-04,6.473,
2005-07,6.544,
2005-10,6.649,
2006-01,6.730,
2006-04,6.759,
2006-07,6.819,
2006-10,6.855,
2007-01,6.886,
2007-04,6.906,
2007-07,6.959,
2007-10,7.211,
2008-01,7.227,
2008-04,7.540,
2008-07,7.721,
2008-10,7.797,
2009-01,7.745,
2009-04,7.737,
2009-07,7.756,
2009-10,7.814,
2010-01,7.726,
2010-04,7.804,
2010-07,7.884,
2010-10,7.748,
2011-01,7.878,
2011-04,7.984,
2011-07,8.057,
2011-10,8.094,
2012-01,8.091,
2012-04,8.201,
2012-07,8.259,
2012-10,8.367,
2013-01,8.333,
2013-04,8.565,
2013-07,8.636,
2013-10,8.748,
2014-01,8.679,
2014-04,8.639,
2014-07,8.613,
