"",BBK01.OEAD35O,BBK01.OEAD35O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:53,
2002-01,0.447,
2002-04,0.443,
2002-07,0.445,
2002-10,0.443,
2003-01,0.432,
2003-04,0.425,
2003-07,0.414,
2003-10,0.409,
2004-01,0.411,
2004-04,0.405,
2004-07,0.392,
2004-10,0.381,
2005-01,0.398,
2005-04,0.400,
2005-07,0.395,
2005-10,0.391,
2006-01,0.389,
2006-04,0.387,
2006-07,0.388,
2006-10,0.399,
2007-01,0.389,
2007-04,0.398,
2007-07,0.405,
2007-10,0.448,
2008-01,0.439,
2008-04,0.469,
2008-07,0.501,
2008-10,0.495,
2009-01,0.509,
2009-04,0.491,
2009-07,0.448,
2009-10,0.445,
2010-01,0.417,
2010-04,0.433,
2010-07,0.445,
2010-10,0.441,
2011-01,0.448,
2011-04,0.446,
2011-07,0.442,
2011-10,0.444,
2012-01,0.430,
2012-04,0.437,
2012-07,0.433,
2012-10,0.437,
2013-01,0.442,
2013-04,0.439,
2013-07,0.441,
2013-10,0.440,
2014-01,0.464,
2014-04,0.469,
2014-07,0.483,
