"",BBK01.OXA8A5,BBK01.OXA8A5_FLAGS
"",Loans (including bills of exchange) to domestic insurance companies - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:40,
1999-01,3.625,
1999-02,3.823,
1999-03,3.399,
1999-04,3.198,
1999-05,3.142,
1999-06,3.682,
1999-07,3.443,
1999-08,3.500,
1999-09,3.563,
1999-10,3.686,
1999-11,4.487,
1999-12,3.314,
2000-01,4.089,
2000-02,3.014,
2000-03,3.313,
2000-04,5.206,
2000-05,3.234,
2000-06,3.293,
2000-07,2.931,
2000-08,3.593,
2000-09,3.703,
2000-10,3.239,
2000-11,3.987,
2000-12,3.019,
2001-01,3.502,
2001-02,3.475,
2001-03,3.257,
2001-04,3.142,
2001-05,3.371,
2001-06,3.716,
2001-07,3.288,
2001-08,3.381,
2001-09,4.198,
2001-10,3.598,
2001-11,4.345,
2001-12,4.406,
2002-01,3.861,
2002-02,4.290,
2002-03,4.252,
2002-04,3.367,
2002-05,3.316,
2002-06,3.668,
2002-07,3.878,
2002-08,3.771,
2002-09,4.085,
2002-10,4.167,
2002-11,4.414,
2002-12,4.199,
2003-01,4.311,
2003-02,3.957,
2003-03,4.538,
2003-04,3.566,
2003-05,3.935,
2003-06,4.496,
2003-07,4.279,
2003-08,3.573,
2003-09,3.997,
2003-10,3.758,
2003-11,3.929,
2003-12,3.707,
2004-01,4.994,
2004-02,4.576,
2004-03,4.100,
2004-04,3.469,
2004-05,3.517,
2004-06,2.724,
2004-07,2.360,
2004-08,2.682,
2004-09,2.662,
2004-10,2.635,
2004-11,2.619,
2004-12,2.444,
2005-01,2.722,
2005-02,2.630,
2005-03,2.551,
2005-04,2.451,
2005-05,3.219,
2005-06,2.888,
2005-07,2.525,
2005-08,3.012,
2005-09,3.317,
2005-10,2.840,
2005-11,3.655,
2005-12,2.791,
2006-01,3.418,
2006-02,3.202,
2006-03,3.356,
2006-04,3.015,
2006-05,3.344,
2006-06,3.242,
2006-07,2.446,
2006-08,2.794,
2006-09,2.748,
2006-10,2.580,
2006-11,3.201,
2006-12,2.817,
2007-01,3.358,
2007-02,5.239,
2007-03,5.683,
2007-04,5.539,
2007-05,4.700,
2007-06,5.800,
2007-07,6.899,
2007-08,5.949,
2007-09,6.073,
2007-10,5.662,
2007-11,6.116,
2007-12,6.561,
2008-01,5.268,
2008-02,5.468,
2008-03,7.137,
2008-04,5.726,
2008-05,5.711,
2008-06,5.819,
2008-07,6.181,
2008-08,7.048,
2008-09,7.388,
2008-10,6.724,
2008-11,7.564,
2008-12,5.109,
2009-01,5.219,
2009-02,5.425,
2009-03,5.547,
2009-04,5.219,
2009-05,5.230,
2009-06,4.927,
2009-07,5.042,
2009-08,4.766,
2009-09,5.085,
2009-10,4.708,
2009-11,4.751,
2009-12,4.936,
2010-01,5.091,
2010-02,5.224,
2010-03,5.095,
2010-04,4.837,
2010-05,5.617,
2010-06,4.836,
2010-07,4.673,
2010-08,3.839,
2010-09,4.668,
2010-10,4.989,
2010-11,5.119,
2010-12,4.906,
2011-01,3.776,
2011-02,4.030,
2011-03,3.471,
2011-04,3.620,
2011-05,3.080,
2011-06,3.241,
2011-07,3.385,
2011-08,3.561,
2011-09,3.476,
2011-10,3.680,
2011-11,3.952,
2011-12,3.221,
2012-01,3.298,
2012-02,3.320,
2012-03,3.011,
2012-04,3.106,
2012-05,3.060,
2012-06,3.907,
2012-07,3.253,
2012-08,3.322,
2012-09,3.555,
2012-10,3.514,
2012-11,3.572,
2012-12,3.412,
2013-01,3.687,
2013-02,3.388,
2013-03,3.263,
2013-04,2.905,
2013-05,2.815,
2013-06,3.102,
2013-07,2.630,
2013-08,2.717,
2013-09,2.778,
2013-10,2.965,
2013-11,3.241,
2013-12,3.394,
2014-01,3.988,
2014-02,4.068,
2014-03,3.894,
2014-04,3.103,
2014-05,2.752,
2014-06,3.518,
2014-07,2.868,
2014-08,3.174,
2014-09,4.883,
2014-10,2.932,
2014-11,3.344,
2014-12,2.737,Provisional value
