"",BBFB1.M.N.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:21,
1991-01,2345.312,
1991-02,2115.504,
1991-03,2751.669,
1991-04,2454.991,
1991-05,2455.176,
1991-06,3385.161,
1991-07,3388.292,
1991-08,3975.778,
1991-09,4097.125,
1991-10,3065.374,
1991-11,1978.515,
1991-12,2309.245,
1992-01,2509.167,
1992-02,2272.186,
1992-03,2934.901,
1992-04,2662.775,
1992-05,2648.988,
1992-06,3745.196,
1992-07,3694.200,
1992-08,4278.595,
1992-09,4699.630,
1992-10,3323.835,
1992-11,2145.827,
1992-12,2445.049,
1993-01,2603.213,
1993-02,2380.508,
1993-03,3117.060,
1993-04,2795.893,
1993-05,2736.659,
1993-06,4014.746,
1993-07,3866.033,
1993-08,4533.765,
1993-09,4725.918,
1993-10,3502.262,
1993-11,2272.477,
1993-12,2515.313,
1994-01,2806.788,
1994-02,2582.174,
1994-03,3462.443,
1994-04,3062.838,
1994-05,3060.565,
1994-06,4448.593,
1994-07,4260.451,
1994-08,5012.241,
1994-09,5247.297,
1994-10,3841.168,
1994-11,2488.094,
1994-12,2781.613,
1995-01,2806.794,
1995-02,2580.563,
1995-03,3524.507,
1995-04,3053.065,
1995-05,3176.551,
1995-06,4560.207,
1995-07,4353.177,
1995-08,5147.230,
1995-09,5455.535,
1995-10,4006.483,
1995-11,2607.614,
1995-12,2810.946,
1996-01,2882.025,
1996-02,2681.611,
1996-03,3532.319,
1996-04,3235.499,
1996-05,3308.130,
1996-06,4704.006,
1996-07,4528.551,
1996-08,5342.915,
1996-09,5524.349,
1996-10,4153.680,
1996-11,2658.414,
1996-12,2896.674,
1997-01,3303.755,
1997-02,2954.017,
1997-03,3342.713,
1997-04,3688.095,
1997-05,3782.541,
1997-06,4358.282,
1997-07,4992.381,
1997-08,5942.790,
1997-09,5190.914,
1997-10,4733.539,
1997-11,3029.640,
1997-12,2474.101,
1998-01,3373.201,
1998-02,3021.383,
1998-03,3460.375,
1998-04,3731.775,
1998-05,3880.787,
1998-06,4424.655,
1998-07,5105.970,
1998-08,6062.407,
1998-09,5396.092,
1998-10,4851.593,
1998-11,3075.522,
1998-12,2552.988,
1999-01,3483.549,
1999-02,3164.026,
1999-03,3665.696,
1999-04,4016.915,
1999-05,4122.030,
1999-06,4866.946,
1999-07,5452.464,
1999-08,6540.270,
1999-09,5779.499,
1999-10,5300.308,
1999-11,3458.509,
1999-12,2732.928,
2000-01,3741.850,
2000-02,3421.000,
2000-03,4006.633,
2000-04,4351.098,
2000-05,4653.082,
2000-06,5315.506,
2000-07,5902.985,
2000-08,7178.243,
2000-09,6313.263,
2000-10,5784.176,
2000-11,3703.315,
2000-12,3056.216,
2001-01,4091.024,
2001-02,3556.724,
2001-03,4090.475,
2001-04,4553.786,
2001-05,4484.981,
2001-06,5184.939,
2001-07,6166.321,
2001-08,7583.396,
2001-09,6347.104,
2001-10,5687.391,
2001-11,3534.659,
2001-12,2704.520,
2002-01,3451.047,
2002-02,3330.700,
2002-03,4739.279,
2002-04,4061.278,
2002-05,5032.998,
2002-06,4625.942,
2002-07,5891.046,
2002-08,7241.644,
2002-09,5895.362,
2002-10,5014.694,
2002-11,3211.282,
2002-12,3408.687,
2003-01,3699.567,
2003-02,3536.287,
2003-03,4154.288,
2003-04,4487.156,
2003-05,4573.916,
2003-06,5181.374,
2003-07,6109.349,
2003-08,8003.858,
2003-09,6529.381,
2003-10,5223.592,
2003-11,3084.915,
2003-12,3173.713,
2004-01,3365.999,
2004-02,3912.341,
2004-03,3989.056,
2004-04,4183.028,
2004-05,4952.284,
2004-06,5693.796,
2004-07,5752.968,
2004-08,8094.834,
2004-09,6263.473,
2004-10,5012.047,
2004-11,3491.371,
2004-12,2833.383,
2005-01,3469.024,
2005-02,3397.031,
2005-03,4830.811,
2005-04,3976.144,
2005-05,5172.429,
2005-06,5358.296,
2005-07,6504.657,
2005-08,8089.727,
2005-09,6801.581,
2005-10,5679.084,
2005-11,3325.400,
2005-12,3161.842,
2006-01,3599.697,
2006-02,3376.937,
2006-03,4444.610,
2006-04,4276.215,
2006-05,5112.065,
2006-06,5570.161,
2006-07,6753.817,
2006-08,6889.539,
2006-09,7272.055,
2006-10,5342.889,
2006-11,3298.072,
2006-12,2958.834,
2007-01,3145.491,
2007-02,3262.045,
2007-03,4520.915,
2007-04,4018.299,
2007-05,5139.695,
2007-06,5749.098,
2007-07,7199.761,
2007-08,8442.027,
2007-09,6661.595,
2007-10,5694.927,
2007-11,3602.237,
2007-12,3183.214,
2008-01,3361.504,
2008-02,3522.193,
2008-03,4681.357,
2008-04,4134.372,
2008-05,5813.939,
2008-06,5684.343,
2008-07,7507.815,
2008-08,7891.627,
2008-09,7180.587,
2008-10,6191.208,
2008-11,3265.362,
2008-12,2619.812,
2009-01,3646.149,
2009-02,3331.210,
2009-03,3568.067,
2009-04,3740.552,
2009-05,4808.657,
2009-06,6047.213,
2009-07,7561.411,
2009-08,7334.665,
2009-09,6250.358,
2009-10,6149.196,
2009-11,3303.185,
2009-12,2442.810,
2010-01,3150.274,
2010-02,3133.309,
2010-03,4051.218,
2010-04,3976.309,
2010-05,4926.196,
2010-06,6142.874,
2010-07,6722.724,
2010-08,7837.523,
2010-09,6565.076,
2010-10,5595.968,
2010-11,3723.283,
2010-12,3109.264,
2011-01,3501.628,
2011-02,3331.526,
2011-03,3688.494,
2011-04,3460.467,
2011-05,4529.647,
2011-06,7129.301,
2011-07,7490.257,
2011-08,8211.872,
2011-09,7247.747,
2011-10,6482.043,
2011-11,3603.589,
2011-12,3009.330,
2012-01,3504.377,
2012-02,3276.342,
2012-03,4362.041,
2012-04,3646.694,
2012-05,5070.853,
2012-06,6596.140,
2012-07,6832.958,
2012-08,9143.022,
2012-09,7796.596,
2012-10,6695.563,
2012-11,3666.036,
2012-12,2658.468,
2013-01,3764.862,
2013-02,3781.583,
2013-03,4584.982,
2013-04,3538.321,
2013-05,5678.164,
2013-06,6685.005,
2013-07,8467.548,
2013-08,9674.159,
2013-09,7807.310,
2013-10,7421.572,
2013-11,4192.341,
2013-12,3198.433,
2014-01,3718.153,
2014-02,3255.437,Provisional value
2014-03,4506.584,Provisional value
2014-04,4263.816,Provisional value
2014-05,5225.765,Provisional value
2014-06,7103.131,Provisional value
2014-07,8265.275,Provisional value
2014-08,10400.964,Provisional value
2014-09,8329.165,
2014-10,7582.886,
2014-11,4415.118,
2014-12,3384.255,Provisional value
