"",BBK01.OEBB17L,BBK01.OEBB17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:21,
2002-01,18.058,
2002-04,18.055,
2002-07,18.774,
2002-10,18.734,
2003-01,19.530,
2003-04,20.086,
2003-07,20.372,
2003-10,21.194,
2004-01,22.097,
2004-04,23.750,
2004-07,25.065,
2004-10,26.435,
2005-01,28.666,
2005-04,30.595,
2005-07,33.265,
2005-10,37.057,
2006-01,39.285,
2006-04,42.685,
2006-07,45.381,
2006-10,47.733,
2007-01,48.999,
2007-04,51.726,
2007-07,52.934,
2007-10,58.044,
2008-01,59.384,
2008-04,59.769,
2008-07,60.368,
2008-10,60.552,
2009-01,61.617,
2009-04,64.462,
2009-07,66.498,
2009-10,68.684,
2010-01,68.937,
2010-04,69.939,
2010-07,71.250,
2010-10,72.721,
2011-01,73.433,
2011-04,74.602,
2011-07,76.384,
2011-10,77.790,
2012-01,77.740,
2012-04,78.777,
2012-07,80.886,
2012-10,81.636,
2013-01,81.735,
2013-04,82.488,
2013-07,83.636,
2013-10,84.492,
2014-01,84.818,
2014-04,85.750,
2014-07,86.450,
