"",BBK01.OEHJ03S,BBK01.OEHJ03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:29,
2002-01,0.297,
2002-04,0.287,
2002-07,0.295,
2002-10,0.305,
2003-01,0.264,
2003-04,0.287,
2003-07,0.296,
2003-10,0.363,
2004-01,0.298,
2004-04,0.294,
2004-07,0.303,
2004-10,0.364,
2005-01,0.310,
2005-04,0.314,
2005-07,0.328,
2005-10,0.321,
2006-01,0.368,
2006-04,0.390,
2006-07,0.395,
2006-10,0.403,
2007-01,0.442,
2007-04,0.479,
2007-07,0.503,
2007-10,0.506,
2008-01,0.538,
2008-04,0.532,
2008-07,0.555,
2008-10,0.488,
2009-01,0.365,
2009-04,0.353,
2009-07,0.294,
2009-10,0.266,
2010-01,0.290,
2010-04,0.310,
2010-07,0.293,
2010-10,0.360,
2011-01,0.355,
2011-04,0.406,
2011-07,0.422,
2011-10,0.389,
2012-01,0.404,
2012-04,0.362,
2012-07,0.339,
2012-10,0.297,
2013-01,0.296,
2013-04,0.305,
2013-07,0.301,
2013-10,0.303,
2014-01,0.329,
2014-04,0.346,
2014-07,0.333,
