"",BBFN1.M.DE.N.1.L.HK.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:35,
1975-12,0.212,
1976-01,0.216,
1976-02,0.215,
1976-03,0.322,
1976-04,0.402,
1976-05,0.357,
1976-06,0.366,
1976-07,0.256,
1976-08,0.345,
1976-09,0.253,
1976-10,0.319,
1976-11,0.245,
1976-12,0.186,
1977-01,0.173,
1977-02,0.213,
1977-03,0.227,
1977-04,0.226,
1977-05,0.313,
1977-06,0.268,
1977-07,0.325,
1977-08,0.228,
1977-09,0.223,
1977-10,0.267,
1977-11,0.312,
1977-12,0.267,
1978-01,0.352,
1978-02,0.353,
1978-03,0.256,
1978-04,0.140,
1978-05,0.099,
1978-06,0.093,
1978-07,0.071,
1978-08,0.065,
1978-09,0.032,
1978-10,0.025,
1978-11,0.024,
1978-12,0.023,
1979-01,0.025,
1979-02,0.022,
1979-03,0.029,
1979-04,0.027,
1979-05,0.024,
1979-06,0.018,
1979-07,0.012,
1979-08,0.013,
1979-09,0.015,
1979-10,0.004,
1979-11,0.007,
1979-12,0.009,
1980-01,0.010,
1980-02,0.011,
1980-03,0.024,
1980-04,0.025,
1980-05,0.025,
1980-06,0.025,
1980-07,0.033,
1980-08,0.024,
1980-09,0.025,
1980-10,0.024,
1980-11,0.024,
1980-12,0.023,
1981-01,0.036,
1981-02,0.037,
1981-03,0.040,
1981-04,0.038,
1981-05,0.039,
1981-06,0.055,
1981-07,0.052,
1981-08,0.052,
1981-09,0.052,
1981-10,0.034,
1981-11,0.035,
1981-12,0.057,
1982-01,0.044,
1982-02,0.046,
1982-03,0.054,
1982-04,0.053,
1982-05,0.054,
1982-06,0.051,
1982-07,0.051,
1982-08,0.048,
1982-09,0.036,
1982-10,0.037,
1982-11,0.055,
1982-12,0.030,
1983-01,0.075,
1983-02,0.075,
1983-03,0.083,
1983-04,0.115,
1983-05,0.105,
1983-06,0.105,
1983-07,0.111,
1983-08,0.109,
1983-09,0.108,
1983-10,0.145,
1983-11,0.152,
1983-12,0.101,
1984-01,0.102,
1984-02,0.113,
1984-03,0.098,
1984-04,0.100,
1984-05,0.103,
1984-06,0.117,
1984-07,0.118,
1984-08,0.201,
1984-09,0.207,
1984-10,0.194,
1984-11,0.213,
1984-12,0.227,
1985-01,0.245,
1985-02,0.238,
1985-03,0.230,
1985-04,0.207,
1985-05,0.203,
1985-06,0.215,
1985-07,0.147,
1985-08,0.203,
1985-09,0.188,
1985-10,0.211,
1985-11,0.209,
1985-12,0.222,
1986-01,0.199,
1986-02,0.217,
1986-03,0.204,
1986-04,0.182,
1986-05,0.202,
1986-06,0.166,
1986-07,0.172,
1986-08,0.165,
1986-09,0.140,
1986-10,0.157,
1986-11,0.117,
1986-12,0.110,
1987-01,0.105,
1987-02,0.140,
1987-03,0.099,
1987-04,0.115,
1987-05,0.105,
1987-06,0.132,
1987-07,0.102,
1987-08,0.130,
1987-09,0.171,
1987-10,0.188,
1987-11,0.210,
1987-12,0.208,
1988-01,0.203,
1988-02,0.219,
1988-03,0.205,
1988-04,0.204,
1988-05,0.186,
1988-06,0.191,
1988-07,0.210,
1988-08,0.211,
1988-09,0.205,
1988-10,0.208,
1988-11,0.219,
1988-12,0.279,
1989-01,0.256,
1989-02,0.251,
1989-03,0.245,
1989-04,0.223,
1989-05,0.211,
1989-06,0.192,
1989-07,0.199,
1989-08,0.203,
1989-09,0.209,
1989-10,0.211,
1989-11,0.265,
1989-12,0.239,
1990-01,0.256,
1990-02,0.255,
1990-03,0.261,
1990-04,0.274,
1990-05,0.269,
1990-06,0.270,
1990-07,0.299,
1990-08,0.305,
1990-09,0.289,
1990-10,0.298,
1990-11,0.301,
1990-12,0.292,
1991-01,0.268,
1991-02,0.248,
1991-03,0.309,
1991-04,0.325,
1991-05,0.381,
1991-06,0.380,
1991-07,0.391,
1991-08,0.409,
1991-09,0.336,
1991-10,0.389,
1991-11,0.425,
1991-12,0.392,
1992-01,0.435,
1992-02,0.477,
1992-03,0.486,
1992-04,0.582,
1992-05,0.604,
1992-06,0.586,
1992-07,0.655,
1992-08,0.589,
1992-09,0.518,
1992-10,0.609,
1992-11,0.620,
1992-12,0.691,
1993-01,0.626,
1993-02,0.682,
1993-03,0.718,
1993-04,0.740,
1993-05,0.890,
1993-06,0.949,
1993-07,0.961,
1993-08,1.007,
1993-09,0.999,
1993-10,1.052,
1993-11,1.026,
1993-12,1.038,
1994-01,0.959,
1994-02,0.958,
1994-03,0.950,
1994-04,0.969,
1994-05,1.002,
1994-06,0.939,
1994-07,0.948,
1994-08,0.920,
1994-09,0.826,
1994-10,0.772,
1994-11,0.781,
1994-12,0.751,
1995-01,0.761,
1995-02,0.748,
1995-03,0.767,
1995-04,0.801,
