"",BBK01.CEBEQ2,BBK01.CEBEQ2_FLAGS
"",short-term loans debtor: All sectors (consolidated)                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:22,
1991-01,313.5,
1991-04,329.1,
1991-07,330.0,
1991-10,341.3,
1992-01,338.3,
1992-04,352.3,
1992-07,342.1,
1992-10,344.4,
1993-01,338.3,
1993-04,336.9,
1993-07,334.8,
1993-10,340.1,
1994-01,332.4,
1994-04,332.2,
1994-07,331.3,
1994-10,350.4,
1995-01,357.8,
1995-04,370.3,
1995-07,366.1,
1995-10,375.0,
1996-01,380.4,
1996-04,396.3,
1996-07,389.1,
1996-10,418.1,
1997-01,436.6,
1997-04,435.1,
1997-07,436.2,
1997-10,445.7,
1998-01,457.8,
1998-04,466.7,
1998-07,478.0,
1998-10,470.5,
1999-01,507.1,
1999-04,520.0,
1999-07,513.8,
1999-10,537.8,
2000-01,563.4,
2000-04,592.9,
2000-07,566.1,
2000-10,555.9,
2001-01,660.0,
2001-04,629.6,
2001-07,615.3,
2001-10,583.1,
2002-01,606.4,
2002-04,575.3,
2002-07,606.5,
2002-10,585.3,
2003-01,617.1,
2003-04,590.3,
2003-07,597.1,
2003-10,598.5,
2004-01,637.9,
2004-04,577.7,
2004-07,617.2,
2004-10,597.9,
2005-01,618.5,
2005-04,603.7,
2005-07,632.2,
2005-10,619.6,
2006-01,631.3,
2006-04,624.1,
2006-07,664.6,
2006-10,605.9,
2007-01,661.9,
2007-04,675.8,
2007-07,709.7,
2007-10,724.0,
2008-01,803.8,
2008-04,795.3,
2008-07,814.7,
2008-10,780.7,
2009-01,825.5,
2009-04,847.4,
2009-07,808.1,
2009-10,772.6,
2010-01,809.2,
2010-04,895.4,
2010-07,914.3,
2010-10,984.2,
2011-01,978.8,
2011-04,996.4,
2011-07,1141.9,
2011-10,1100.8,
2012-01,1294.3,
2012-04,1400.7,
2012-07,1379.5,
2012-10,1303.8,
2013-01,1257.8,
2013-04,1259.4,
2013-07,1110.1,
2013-10,1033.8,
2014-01,1013.3,
