"",BBFB1.Q.N.DE.1A.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.1A.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:56,
1991-01,3.593,
1991-04,1.878,
1991-07,5.497,
1991-10,-0.728,
1992-01,-1.274,
1992-04,-0.464,
1992-07,32.905,
1992-10,-0.696,
1993-01,6.741,
1993-04,4.811,
1993-07,-2.277,
1993-10,-0.598,
1994-01,13.068,
1994-04,-51.287,
1994-07,-134.750,
1994-10,31.810,
1995-01,-0.489,
1995-04,-61.808,
1995-07,-35.498,
1995-10,70.899,
1996-01,-12.268,
1996-04,-55.239,
1996-07,-9.161,
1996-10,63.362,
1997-01,-12.990,
1997-04,-51.247,
1997-07,-20.704,
1997-10,-15.127,
1998-01,-11.716,
1998-04,-50.911,
1998-07,-10.468,
1998-10,-15.392,
1999-01,246.449,
1999-04,-50.928,
1999-07,-2.681,
1999-10,-30.013,
2000-01,59.353,
2000-04,-45.961,
2000-07,-34.928,
2000-10,-17.621,
2001-01,-23.703,
2001-04,-30.699,
2001-07,-11.202,
2001-10,-4.241,
2002-01,-13.149,
2002-04,-18.640,
2002-07,-37.017,
2002-10,-18.272,
2003-01,86.976,
2003-04,39.123,
2003-07,-19.473,
2003-10,-2.850,
2004-01,-16.583,
2004-04,55.175,
2004-07,19.449,
2004-10,24.532,
2005-01,-28.789,
2005-04,0.596,
2005-07,-5.871,
2005-10,44.698,
2006-01,-53.103,
2006-04,0.069,
2006-07,-27.672,
2006-10,27.233,
2007-01,382.137,
2007-04,-10.096,
2007-07,16.000,
2007-10,16.428,
2008-01,-20.084,
2008-04,-10.044,
2008-07,34.608,
2008-10,64.429,
2009-01,83.865,
2009-04,-18.042,
2009-07,-16.202,
2009-10,61.535,
2010-01,104.206,
2010-04,46.605,
2010-07,-13.260,
2010-10,4.260,
2011-01,44.307,
2011-04,28.057,
2011-07,22.200,
2011-10,10.422,
2012-01,-21.871,
2012-04,31.714,
2012-07,22.321,
2012-10,20.866,
2013-01,105.644,
2013-04,47.005,
2013-07,110.651,
2013-10,56.865,
2014-01,70.001,Provisional value
2014-04,93.985,Provisional value
2014-07,35.438,Provisional value
2014-10,11.754,Provisional value
