"",BBK01.OEYB10P,BBK01.OEYB10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:56,
2002-01,0.207,
2002-04,0.228,
2002-07,0.254,
2002-10,0.386,
2003-01,0.402,
2003-04,0.383,
2003-07,0.352,
2003-10,0.291,
2004-01,0.225,
2004-04,0.214,
2004-07,0.299,
2004-10,0.273,
2005-01,0.342,
2005-04,0.377,
2005-07,0.348,
2005-10,0.370,
2006-01,0.364,
2006-04,0.351,
2006-07,0.374,
2006-10,0.393,
2007-01,0.352,
2007-04,0.338,
2007-07,0.352,
2007-10,0.386,
2008-01,0.384,
2008-04,0.391,
2008-07,0.393,
2008-10,0.436,
2009-01,0.408,
2009-04,0.349,
2009-07,0.324,
2009-10,0.365,
2010-01,0.357,
2010-04,0.244,
2010-07,0.278,
2010-10,0.308,
2011-01,0.315,
2011-04,0.303,
2011-07,0.309,
2011-10,0.317,
2012-01,0.576,
2012-04,0.385,
2012-07,0.378,
2012-10,0.408,
2013-01,0.332,
2013-04,0.325,
2013-07,0.400,
2013-10,0.411,
2014-01,0.400,
2014-04,0.365,
2014-07,0.413,
