"",BBFB1.Q.N.DE.HU.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:59,
1991-01,352.941,
1991-04,371.167,
1991-07,381.656,
1991-10,452.726,
1992-01,375.018,
1992-04,374.219,
1992-07,390.170,
1992-10,428.372,
1993-01,333.469,
1993-04,336.020,
1993-07,356.652,
1993-10,446.852,
1994-01,385.113,
1994-04,391.165,
1994-07,486.915,
1994-10,566.069,
1995-01,529.943,
1995-04,550.903,
1995-07,608.467,
1995-10,739.012,
1996-01,670.281,
1996-04,684.692,
1996-07,714.494,
1996-10,820.902,
1997-01,852.088,
1997-04,944.932,
1997-07,1102.801,
1997-10,1260.088,
1998-01,1282.262,
1998-04,1410.984,
1998-07,1569.133,
1998-10,1748.298,
1999-01,1712.635,
1999-04,1704.655,
1999-07,1967.389,
1999-10,2019.627,
2000-01,2099.289,
2000-04,2042.398,
2000-07,2150.092,
2000-10,2563.139,
2001-01,2483.659,
2001-04,2537.149,
2001-07,2624.673,
2001-10,2528.294,
2002-01,2568.502,
2002-04,2689.081,
2002-07,2634.346,
2002-10,2654.316,
2003-01,2600.153,
2003-04,2533.966,
2003-07,2528.774,
2003-10,3033.272,
2004-01,3113.568,
2004-04,2903.285,
2004-07,2704.206,
2004-10,3378.071,
2005-01,2844.665,
2005-04,3090.306,
2005-07,3497.847,
2005-10,3608.543,
2006-01,3379.963,
2006-04,3395.600,
2006-07,3658.167,
2006-10,3974.971,
2007-01,4017.061,
2007-04,4108.175,
2007-07,4094.841,
2007-10,4059.769,
2008-01,4141.511,
2008-04,4136.791,
2008-07,4060.265,
2008-10,3721.980,
2009-01,3182.797,
2009-04,3196.946,
2009-07,3257.230,
2009-10,3431.303,
2010-01,3587.322,
2010-04,3873.193,
2010-07,3729.172,
2010-10,4109.972,
2011-01,4277.373,
2011-04,4348.107,
2011-07,4386.589,
2011-10,4303.598,
2012-01,4555.842,
2012-04,4540.569,
2012-07,4351.007,
2012-10,4174.703,
2013-01,4382.520,
2013-04,4692.616,
2013-07,4578.209,
2013-10,4962.705,
2014-01,5166.455,Provisional value
2014-04,5407.158,Provisional value
2014-07,5203.902,Provisional value
