"",BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:20,
1991-01,2.069,
1991-04,-26.620,
1991-07,82.101,
1991-10,0.434,
1992-01,-52.957,
1992-04,-4.269,
1992-07,99.838,
1992-10,37.881,
1993-01,75.059,
1993-04,-42.361,
1993-07,-10.565,
1993-10,-32.458,
1994-01,0.471,
1994-04,166.301,
1994-07,99.834,
1994-10,314.911,
1995-01,183.549,
1995-04,275.166,
1995-07,-21.231,
1995-10,-295.555,
1996-01,557.430,
1996-04,45.762,
1996-07,84.306,
1996-10,505.322,
1997-01,650.610,
1997-04,453.659,
1997-07,1142.733,
1997-10,-663.015,
1998-01,1428.796,
1998-04,2213.403,
1998-07,-2345.672,
1998-10,759.611,
1999-01,-293.882,
1999-04,-105.324,
1999-07,1153.880,
1999-10,1892.605,
2000-01,234.862,
2000-04,49.239,
2000-07,97.714,
2000-10,1041.989,
2001-01,-1610.543,
2001-04,-1592.188,
2001-07,-3393.353,
2001-10,2520.433,
2002-01,-1291.083,
2002-04,-228.650,
2002-07,-1164.325,
2002-10,83.950,
2003-01,-462.485,
2003-04,351.912,
2003-07,183.187,
2003-10,-841.496,
2004-01,995.547,
2004-04,318.284,
2004-07,2796.306,
2004-10,768.388,
2005-01,1073.104,
2005-04,136.057,
2005-07,-749.239,
2005-10,158.505,
2006-01,-39.050,
2006-04,-670.034,
2006-07,-378.603,
2006-10,858.984,
2007-01,-1111.942,
2007-04,763.658,
2007-07,74.833,
2007-10,1265.318,
2008-01,247.754,
2008-04,-168.167,
2008-07,-1018.096,
2008-10,-2516.333,
2009-01,-259.150,
2009-04,1071.108,
2009-07,2041.207,
2009-10,-33.154,
2010-01,1331.754,
2010-04,-591.555,
2010-07,1099.821,
2010-10,-437.356,
2011-01,-910.567,
2011-04,-73.314,
2011-07,828.298,
2011-10,348.266,
2012-01,-1418.232,
2012-04,673.197,
2012-07,-45.880,
2012-10,-279.101,
2013-01,-665.669,
2013-04,1159.977,
2013-07,427.166,
2013-10,698.441,
2014-01,-761.337,Provisional value
2014-04,-362.558,Provisional value
2014-07,503.852,Provisional value
2014-10,-232.847,Provisional value
