"",BBFN1.M.DE.N.1.A.CA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:30,
1994-07,0.417,
1994-08,0.474,
1994-09,0.504,
1994-10,0.491,
1994-11,0.523,
1994-12,0.497,
1995-01,0.502,
1995-02,0.480,
1995-03,0.496,
1995-04,0.508,
1995-05,0.540,
1995-06,0.523,
1995-07,0.539,
1995-08,0.490,
1995-09,0.503,
1995-10,0.470,
1995-11,0.490,
1995-12,0.461,
1996-01,0.468,
1996-02,0.458,
1996-03,0.523,
1996-04,0.531,
1996-05,0.516,
1996-06,0.485,
1996-07,0.463,
1996-08,0.446,
1996-09,0.450,
1996-10,0.451,
1996-11,0.446,
1996-12,0.458,
1997-01,0.473,
1997-02,0.514,
1997-03,0.535,
1997-04,0.531,
1997-05,0.548,
1997-06,0.556,
1997-07,0.550,
1997-08,0.522,
1997-09,0.566,
1997-10,0.601,
1997-11,0.599,
1997-12,0.642,
1998-01,0.642,
1998-02,0.663,
1998-03,0.670,
1998-04,0.728,
1998-05,0.674,
1998-06,0.681,
1998-07,0.658,
1998-08,0.648,
1998-09,0.725,
1998-10,0.708,
1998-11,0.725,
1998-12,0.688,
1999-01,0.779,
1999-02,0.796,
1999-03,0.838,
1999-04,0.894,
1999-05,0.798,
1999-06,0.834,
1999-07,0.876,
1999-08,0.916,
1999-09,0.875,
1999-10,0.952,
1999-11,0.944,
1999-12,0.891,
2000-01,0.921,
2000-02,0.968,
2000-03,1.093,
2000-04,1.074,
2000-05,1.077,
2000-06,1.034,
2000-07,1.125,
2000-08,1.117,
2000-09,1.200,
2000-10,1.130,
2000-11,1.166,
2000-12,1.136,
2001-01,1.226,
2001-02,1.070,
2001-03,1.150,
2001-04,1.152,
2001-05,1.131,
2001-06,1.064,
2001-07,1.014,
2001-08,1.006,
2001-09,1.042,
2001-10,1.106,
2001-11,1.046,
2001-12,1.090,
2002-01,1.012,
2002-02,1.021,
2002-03,1.009,
2002-04,1.082,
2002-05,1.067,
2002-06,1.082,
2002-07,1.265,
2002-08,1.298,
2002-09,1.229,
2002-10,1.242,
2002-11,1.297,
2002-12,1.255,
2003-01,1.176,
2003-02,1.208,
2003-03,1.285,
2003-04,1.253,
2003-05,1.174,
2003-06,1.294,
2003-07,1.349,
2003-08,1.315,
2003-09,0.942,
2003-10,0.951,
2003-11,0.923,
2003-12,1.032,
2004-01,0.747,
2004-02,0.744,
2004-03,0.851,
2004-04,0.899,
2004-05,0.836,
2004-06,0.889,
2004-07,0.869,
2004-08,1.048,
2004-09,1.076,
2004-10,1.102,
2004-11,1.097,
2004-12,0.793,
2005-01,0.790,
2005-02,0.805,
2005-03,0.943,
2005-04,0.898,
2005-05,0.897,
2005-06,0.942,
2005-07,0.903,
2005-08,0.853,
2005-09,0.909,
2005-10,0.894,
2005-11,0.971,
2005-12,0.872,
2006-01,0.907,
2006-02,0.906,
2006-03,1.030,
2006-04,1.112,
2006-05,1.001,
2006-06,1.035,
2006-07,0.920,
2006-08,0.881,
2006-09,1.012,
2006-10,0.948,
2006-11,0.952,
2006-12,0.898,
2007-01,0.984,
2007-02,1.018,
2007-03,1.054,
2007-04,1.169,
2007-05,1.035,
2007-06,1.010,
2007-07,0.983,
2007-08,1.014,
2007-09,1.119,
2007-10,1.043,
2007-11,1.033,
2007-12,0.876,
2008-01,0.970,
2008-02,0.944,
2008-03,1.091,
2008-04,1.155,
2008-05,1.041,
2008-06,1.049,
2008-07,0.989,
2008-08,0.930,
2008-09,1.011,
2008-10,1.033,
2008-11,1.010,
2008-12,0.941,
2009-01,0.926,
2009-02,0.856,
2009-03,0.952,
2009-04,1.092,
2009-05,0.930,
2009-06,0.883,
2009-07,0.901,
2009-08,0.839,
2009-09,0.848,
2009-10,0.868,
2009-11,0.882,
2009-12,0.868,
2010-01,0.876,
2010-02,0.863,
2010-03,0.963,
2010-04,0.940,
2010-05,0.936,
2010-06,0.996,
2010-07,0.975,
2010-08,1.018,
2010-09,1.057,
2010-10,1.071,
2010-11,1.120,
2010-12,1.100,
2011-01,1.203,
2011-02,1.284,
2011-03,1.305,
2011-04,1.101,
2011-05,1.154,
2011-06,1.032,
2011-07,1.046,
2011-08,1.008,
2011-09,1.094,
2011-10,1.156,
2011-11,1.030,
2011-12,0.976,
2012-01,1.053,
2012-02,1.230,
2012-03,1.166,
2012-04,1.191,
2012-05,1.190,
2012-06,1.126,
2012-07,1.145,
2012-08,1.141,
2012-09,1.120,
2012-10,1.172,
2012-11,1.110,
2012-12,1.049,
2013-01,1.199,
2013-02,1.252,
2013-03,1.288,
2013-04,1.332,
2013-05,1.395,
2013-06,1.236,
2013-07,1.239,
2013-08,1.155,
2013-09,1.218,
2013-10,1.225,
2013-11,1.406,
2013-12,1.267,
2014-01,1.257,
2014-02,1.340,
2014-03,1.339,
2014-04,1.380,
2014-05,1.274,
2014-06,1.304,
2014-07,1.199,
2014-08,1.229,
2014-09,1.319,
2014-10,1.319,
2014-11,1.290,
2014-12,1.232,
