"",BBK01.OEAA53Q,BBK01.OEAA53Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:30,
2002-01,9.004,
2002-04,8.431,
2002-07,8.797,
2002-10,8.943,
2003-01,8.789,
2003-04,8.740,
2003-07,8.819,
2003-10,8.713,
2004-01,8.809,
2004-04,5.531,
2004-07,5.304,
2004-10,5.000,
2005-01,4.922,
2005-04,5.222,
2005-07,5.912,
2005-10,5.972,
2006-01,5.807,
2006-04,6.208,
2006-07,6.267,
2006-10,8.285,
2007-01,9.068,
2007-04,8.998,
2007-07,9.042,
2007-10,7.805,
2008-01,7.304,
2008-04,9.341,
2008-07,10.229,
2008-10,10.578,
2009-01,10.711,
2009-04,10.648,
2009-07,10.892,
2009-10,16.072,
2010-01,16.688,
2010-04,16.845,
2010-07,10.481,
2010-10,10.201,
2011-01,9.951,
2011-04,9.733,
2011-07,6.406,
2011-10,8.732,
2012-01,9.190,
2012-04,9.694,
2012-07,8.911,
2012-10,13.519,
2013-01,13.020,
2013-04,11.857,
2013-07,11.221,
2013-10,13.810,
2014-01,12.657,
2014-04,12.335,
2014-07,12.405,
