"",BBK01.OEXJ04G,BBK01.OEXJ04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:41,
2002-01,1.750,
2002-04,1.874,
2002-07,1.705,
2002-10,1.477,
2003-01,2.005,
2003-04,2.474,
2003-07,1.367,
2003-10,1.226,
2004-01,1.092,
2004-04,1.502,
2004-07,1.221,
2004-10,1.443,
2005-01,1.352,
2005-04,1.405,
2005-07,0.732,
2005-10,0.638,
2006-01,0.543,
2006-04,0.563,
2006-07,0.451,
2006-10,0.468,
2007-01,0.481,
2007-04,0.649,
2007-07,0.885,
2007-10,0.646,
2008-01,0.662,
2008-04,0.826,
2008-07,0.933,
2008-10,0.906,
2009-01,0.895,
2009-04,0.795,
2009-07,0.740,
2009-10,0.639,
2010-01,1.031,
2010-04,0.772,
2010-07,0.568,
2010-10,0.704,
2011-01,0.796,
2011-04,0.676,
2011-07,0.857,
2011-10,1.011,
2012-01,0.908,
2012-04,0.962,
2012-07,1.219,
2012-10,0.939,
2013-01,0.998,
2013-04,1.118,
2013-07,1.293,
2013-10,1.052,
2014-01,1.805,
2014-04,1.726,
2014-07,2.031,
