"",BBFB1.Q.N.DE.FI.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:05,
1991-01,787.546,
1991-04,708.291,
1991-07,739.818,
1991-10,757.376,
1992-01,733.014,
1992-04,756.343,
1992-07,731.011,
1992-10,744.871,
1993-01,610.309,
1993-04,705.534,
1993-07,628.301,
1993-10,752.367,
1994-01,715.133,
1994-04,874.742,
1994-07,836.921,
1994-10,960.641,
1995-01,895.185,
1995-04,891.071,
1995-07,862.690,
1995-10,813.165,
1996-01,803.666,
1996-04,777.060,
1996-07,806.831,
1996-10,875.438,
1997-01,768.306,
1997-04,854.754,
1997-07,1005.226,
1997-10,1003.186,
1998-01,985.999,
1998-04,1033.284,
1998-07,1014.839,
1998-10,1031.183,
1999-01,1094.770,
1999-04,1115.818,
1999-07,1000.314,
1999-10,1214.104,
2000-01,1315.394,
2000-04,1229.004,
2000-07,1264.971,
2000-10,1740.515,
2001-01,1373.250,
2001-04,2205.375,
2001-07,1164.294,
2001-10,1354.392,
2002-01,1207.096,
2002-04,1585.100,
2002-07,1377.721,
2002-10,1727.891,
2003-01,1456.261,
2003-04,1436.272,
2003-07,1379.530,
2003-10,1580.577,
2004-01,1309.259,
2004-04,1306.432,
2004-07,1465.780,
2004-10,1485.650,
2005-01,1301.332,
2005-04,1556.848,
2005-07,2041.522,
2005-10,2225.162,
2006-01,1960.239,
2006-04,1759.113,
2006-07,1691.166,
2006-10,1974.895,
2007-01,1889.022,
2007-04,1907.510,
2007-07,1942.255,
2007-10,1838.659,
2008-01,1854.796,
2008-04,1933.056,
2008-07,1893.602,
2008-10,1626.098,
2009-01,1293.935,
2009-04,1204.858,
2009-07,1250.581,
2009-10,1399.561,
2010-01,1179.748,
2010-04,1608.827,
2010-07,1483.194,
2010-10,1580.623,
2011-01,1669.923,
2011-04,1613.463,
2011-07,1603.500,
2011-10,1517.413,
2012-01,1528.596,
2012-04,1542.251,
2012-07,1563.364,
2012-10,1404.453,
2013-01,1377.173,
2013-04,1506.814,
2013-07,1511.201,
2013-10,1500.479,
2014-01,1662.799,Provisional value
2014-04,1664.553,Provisional value
2014-07,1809.749,Provisional value
