"",BBFB1.Q.N.DE.I7.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:49,
1991-01,1943.094,
1991-04,1818.554,
1991-07,1856.895,
1991-10,1908.972,
1992-01,2112.685,
1992-04,2099.310,
1992-07,2205.887,
1992-10,2415.058,
1993-01,1812.242,
1993-04,1988.202,
1993-07,2013.673,
1993-10,2069.203,
1994-01,2143.019,
1994-04,2115.018,
1994-07,2119.332,
1994-10,2124.302,
1995-01,2793.876,
1995-04,2694.558,
1995-07,2752.394,
1995-10,2782.055,
1996-01,2228.264,
1996-04,2203.762,
1996-07,2275.960,
1996-10,2363.511,
1997-01,2383.798,
1997-04,2473.136,
1997-07,2515.168,
1997-10,2423.317,
1998-01,2861.584,
1998-04,2921.148,
1998-07,3131.086,
1998-10,3249.794,
1999-01,4074.017,
1999-04,4478.803,
1999-07,4538.919,
1999-10,4515.357,
2000-01,3496.525,
2000-04,3752.094,
2000-07,3888.544,
2000-10,4101.794,
2001-01,4925.204,
2001-04,5460.991,
2001-07,5383.685,
2001-10,5244.795,
2002-01,3439.859,
2002-04,3573.120,
2002-07,3526.248,
2002-10,3667.461,
2003-01,3806.495,
2003-04,4173.355,
2003-07,3963.148,
2003-10,3735.218,
2004-01,4343.843,
2004-04,4381.833,
2004-07,4035.383,
2004-10,4075.348,
2005-01,4427.754,
2005-04,4950.703,
2005-07,4570.145,
2005-10,4542.915,
2006-01,5298.652,
2006-04,5558.778,
2006-07,5025.372,
2006-10,5016.460,
2007-01,4148.086,
2007-04,5072.133,
2007-07,4172.687,
2007-10,4511.788,
2008-01,4199.014,
2008-04,4699.631,
2008-07,4360.111,
2008-10,4332.280,
2009-01,3632.135,
2009-04,3968.202,
2009-07,3750.686,
2009-10,3918.157,
2010-01,4060.192,
2010-04,4917.490,
2010-07,4643.238,
2010-10,5062.967,
2011-01,4390.124,
2011-04,5513.673,
2011-07,4797.571,
2011-10,4735.796,
2012-01,5540.047,
2012-04,5793.508,
2012-07,5575.908,
2012-10,5739.634,
2013-01,4015.491,
2013-04,4275.043,
2013-07,3867.431,
2013-10,4243.479,
2014-01,4605.223,Provisional value
2014-04,5452.926,Provisional value
2014-07,4645.685,Provisional value
