"",BBFB1.M.N.DE.W1.S1Z.S1.T.D.D4P.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1Z.S1.T.D.D4P.O.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Other Investment income / Enterprises and households / Income from investment fund Shares / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:52,
1991-01,447.011,
1991-02,452.989,
1991-03,465.283,
1991-04,478.725,
1991-05,481.828,
1991-06,481.775,
1991-07,500.053,
1991-08,502.313,
1991-09,509.097,
1991-10,510.834,
1991-11,517.870,
1991-12,523.339,
1992-01,535.993,
1992-02,530.659,
1992-03,535.711,
1992-04,541.053,
1992-05,547.114,
1992-06,553.964,
1992-07,557.833,
1992-08,558.292,
1992-09,550.756,
1992-10,555.377,
1992-11,549.025,
1992-12,546.026,
1993-01,523.606,
1993-02,519.049,
1993-03,503.164,
1993-04,496.023,
1993-05,480.812,
1993-06,475.560,
1993-07,454.965,
1993-08,450.337,
1993-09,442.242,
1993-10,439.667,
1993-11,428.037,
1993-12,417.779,
1994-01,410.681,
1994-02,412.567,
1994-03,409.003,
1994-04,406.105,
1994-05,397.548,
1994-06,388.636,
1994-07,391.871,
1994-08,370.915,
1994-09,387.993,
1994-10,388.078,
1994-11,391.284,
1994-12,395.804,
1995-01,397.859,
1995-02,394.472,
1995-03,392.687,
1995-04,387.313,
1995-05,392.273,
1995-06,390.577,
1995-07,384.180,
1995-08,399.824,
1995-09,398.197,
1995-10,401.961,
1995-11,396.585,
1995-12,384.250,
1996-01,372.935,
1996-02,355.239,
1996-03,352.507,
1996-04,347.220,
1996-05,336.527,
1996-06,327.256,
1996-07,321.203,
1996-08,308.913,
1996-09,284.936,
1996-10,288.540,
1996-11,284.645,
1996-12,294.086,
1997-01,294.970,
1997-02,295.514,
1997-03,295.120,
1997-04,302.348,
1997-05,304.067,
1997-06,322.657,
1997-07,326.024,
1997-08,335.924,
1997-09,334.239,
1997-10,324.545,
1997-11,333.025,
1997-12,330.624,
1998-01,336.899,
1998-02,347.278,
1998-03,342.135,
1998-04,337.951,
1998-05,333.805,
1998-06,331.782,
1998-07,358.474,
1998-08,380.472,
1998-09,392.623,
1998-10,413.266,
1998-11,411.454,
1998-12,426.167,
1999-01,444.818,
1999-02,434.487,
1999-03,449.808,
1999-04,480.355,
1999-05,498.510,
1999-06,496.530,
1999-07,499.020,
1999-08,464.594,
1999-09,456.712,
1999-10,454.766,
1999-11,455.097,
1999-12,446.910,
2000-01,462.228,
2000-02,459.143,
2000-03,476.954,
2000-04,518.035,
2000-05,519.036,
2000-06,514.569,
2000-07,535.053,
2000-08,549.515,
2000-09,559.624,
2000-10,574.107,
2000-11,567.480,
2000-12,569.750,
2001-01,585.328,
2001-02,589.503,
2001-03,559.733,
2001-04,516.885,
2001-05,503.332,
2001-06,520.426,
2001-07,517.714,
2001-08,527.350,
2001-09,532.478,
2001-10,533.472,
2001-11,536.585,
2001-12,546.083,
2002-01,572.500,
2002-02,564.835,
2002-03,568.255,
2002-04,593.782,
2002-05,599.015,
2002-06,577.264,
2002-07,619.469,
2002-08,610.573,
2002-09,601.597,
2002-10,666.729,
2002-11,656.577,
2002-12,645.344,
2003-01,754.118,
2003-02,766.519,
2003-03,782.185,
2003-04,865.360,
2003-05,872.894,
2003-06,895.227,
2003-07,919.737,
2003-08,918.041,
2003-09,933.250,
2003-10,907.692,
2003-11,924.671,
2003-12,937.249,
2004-01,820.171,
2004-02,818.768,
2004-03,819.391,
2004-04,740.431,
2004-05,747.723,
2004-06,743.137,
2004-07,712.329,
2004-08,725.932,
2004-09,722.305,
2004-10,704.587,
2004-11,714.174,
2004-12,713.776,
2005-01,750.522,
2005-02,744.535,
2005-03,749.534,
2005-04,777.001,
2005-05,786.592,
2005-06,790.530,
2005-07,808.094,
2005-08,822.611,
2005-09,834.823,
2005-10,870.452,
2005-11,889.865,
2005-12,902.878,
2006-01,936.880,
2006-02,954.341,
2006-03,967.833,
2006-04,992.901,
2006-05,1015.982,
2006-06,1043.923,
2006-07,1065.351,
2006-08,1085.878,
2006-09,1111.606,
2006-10,1123.425,
2006-11,1146.107,
2006-12,1156.315,
2007-01,1204.382,
2007-02,1229.021,
2007-03,1243.493,
2007-04,1326.616,
2007-05,1322.900,
2007-06,1315.435,
2007-07,1330.309,
2007-08,1361.448,
2007-09,1360.371,
2007-10,1394.323,
2007-11,1392.383,
2007-12,1398.878,
2008-01,1399.641,
2008-02,1434.538,
2008-03,1439.090,
2008-04,1347.944,
2008-05,1327.055,
2008-06,1324.671,
2008-07,1279.286,
2008-08,1210.398,
2008-09,1178.273,
2008-10,1070.416,
2008-11,1056.039,
2008-12,1035.808,
2009-01,987.430,
2009-02,912.246,
2009-03,879.723,
2009-04,828.771,
2009-05,816.530,
2009-06,798.164,
2009-07,779.315,
2009-08,766.305,
2009-09,764.077,
2009-10,775.259,
2009-11,762.560,
2009-12,761.248,
2010-01,805.076,
2010-02,808.700,
2010-03,811.478,
2010-04,834.326,
2010-05,851.673,
2010-06,854.875,
2010-07,864.831,
2010-08,872.692,
2010-09,873.132,
2010-10,893.061,
2010-11,887.600,
2010-12,881.646,
2011-01,865.911,
2011-02,867.996,
2011-03,860.893,
2011-04,861.340,
2011-05,845.504,
2011-06,842.368,
2011-07,841.387,
2011-08,838.569,
2011-09,835.358,
2011-10,832.865,
2011-11,820.384,
2011-12,818.511,
2012-01,801.011,
2012-02,787.431,
2012-03,776.270,
2012-04,768.136,
2012-05,760.708,
2012-06,758.244,
2012-07,741.047,
2012-08,742.571,
2012-09,733.855,
2012-10,721.823,
2012-11,720.123,
2012-12,709.055,
2013-01,747.463,
2013-02,741.644,
2013-03,757.737,
2013-04,754.108,
2013-05,741.424,
2013-06,752.128,
2013-07,746.484,
2013-08,745.653,
2013-09,725.809,
2013-10,712.575,
2013-11,713.331,
2013-12,689.541,
2014-01,707.951,
2014-02,717.257,Provisional value
2014-03,695.858,Provisional value
2014-04,701.872,Provisional value
2014-05,712.611,Provisional value
2014-06,713.763,Provisional value
2014-07,712.175,Provisional value
2014-08,719.570,Provisional value
2014-09,700.048,
2014-10,690.849,
2014-11,689.592,
2014-12,688.328,Provisional value
