"",BBK01.OEAH72I,BBK01.OEAH72I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:46,
2002-01,0.551,
2002-04,0.522,
2002-07,0.492,
2002-10,0.539,
2003-01,0.783,
2003-04,0.889,
2003-07,0.693,
2003-10,0.744,
2004-01,0.840,
2004-04,0.820,
2004-07,0.957,
2004-10,1.001,
2005-01,1.403,
2005-04,1.628,
2005-07,1.806,
2005-10,2.166,
2006-01,2.159,
2006-04,2.260,
2006-07,1.989,
2006-10,2.285,
2007-01,1.708,
2007-04,1.480,
2007-07,1.879,
2007-10,2.263,
2008-01,1.294,
2008-04,1.479,
2008-07,1.184,
2008-10,1.816,
2009-01,3.281,
2009-04,3.105,
2009-07,3.802,
2009-10,3.440,
2010-01,3.651,
2010-04,3.816,
2010-07,2.808,
2010-10,3.239,
2011-01,3.314,
2011-04,4.111,
2011-07,3.541,
2011-10,4.620,
2012-01,2.388,
2012-04,3.321,
2012-07,3.010,
2012-10,3.066,
2013-01,3.995,
2013-04,5.229,
2013-07,3.866,
2013-10,3.277,
2014-01,2.591,
2014-04,3.107,
2014-07,3.587,
