"",BBFB1.Q.N.DE.AT.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:19,
1991-01,526.561,
1991-04,618.449,
1991-07,632.075,
1991-10,614.701,
1992-01,555.198,
1992-04,629.577,
1992-07,638.374,
1992-10,736.798,
1993-01,533.125,
1993-04,673.939,
1993-07,692.048,
1993-10,708.384,
1994-01,648.002,
1994-04,693.581,
1994-07,739.034,
1994-10,753.917,
1995-01,679.115,
1995-04,820.932,
1995-07,894.529,
1995-10,909.982,
1996-01,728.825,
1996-04,805.690,
1996-07,905.009,
1996-10,887.802,
1997-01,696.301,
1997-04,829.790,
1997-07,876.391,
1997-10,885.191,
1998-01,733.702,
1998-04,833.070,
1998-07,907.194,
1998-10,868.503,
1999-01,681.491,
1999-04,802.452,
1999-07,860.240,
1999-10,864.096,
2000-01,726.564,
2000-04,889.486,
2000-07,897.371,
2000-10,899.736,
2001-01,749.640,
2001-04,888.816,
2001-07,939.027,
2001-10,1002.934,
2002-01,845.102,
2002-04,1012.812,
2002-07,1090.111,
2002-10,1126.644,
2003-01,794.865,
2003-04,986.385,
2003-07,1039.708,
2003-10,1066.041,
2004-01,872.243,
2004-04,1075.312,
2004-07,1231.870,
2004-10,1323.330,
2005-01,1047.259,
2005-04,1214.393,
2005-07,1305.951,
2005-10,1379.066,
2006-01,1166.602,
2006-04,1391.443,
2006-07,1520.523,
2006-10,1701.802,
2007-01,1120.028,
2007-04,1353.008,
2007-07,1469.724,
2007-10,1506.280,
2008-01,1143.751,
2008-04,1383.965,
2008-07,1507.883,
2008-10,1550.770,
2009-01,1150.398,
2009-04,1281.623,
2009-07,1420.602,
2009-10,1492.278,
2010-01,1197.134,
2010-04,1384.843,
2010-07,1583.440,
2010-10,1669.650,
2011-01,1324.586,
2011-04,1523.677,
2011-07,1671.155,
2011-10,1787.908,
2012-01,1387.276,
2012-04,1572.702,
2012-07,1702.756,
2012-10,1850.619,
2013-01,1427.949,
2013-04,1706.529,
2013-07,1828.085,
2013-10,1979.307,
2014-01,1654.695,Provisional value
2014-04,1936.475,Provisional value
2014-07,2007.767,Provisional value
