"",BBDE1.M.DE.Y.GUA1.P2XG75060.A.V.I10.A,BBDE1.M.DE.Y.GUA1.P2XG75060.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.51+47.71+47.72 Retail trade of textiles, clothing, footwear and leather goods in specialised stores / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:04,
1994-01,105.1,
1994-02,102.8,
1994-03,106.3,
1994-04,102.9,
1994-05,100.8,
1994-06,101.7,
1994-07,98.9,
1994-08,103.2,
1994-09,105.1,
1994-10,107.9,
1994-11,99.8,
1994-12,107.4,
1995-01,104.3,
1995-02,107.7,
1995-03,101.0,
1995-04,101.8,
1995-05,102.5,
1995-06,106.3,
1995-07,106.4,
1995-08,101.0,
1995-09,105.6,
1995-10,100.6,
1995-11,106.6,
1995-12,104.6,
1996-01,100.8,
1996-02,98.8,
1996-03,104.4,
1996-04,107.6,
1996-05,95.8,
1996-06,103.7,
1996-07,101.9,
1996-08,102.7,
1996-09,109.3,
1996-10,100.9,
1996-11,105.7,
1996-12,102.3,
1997-01,102.7,
1997-02,103.1,
1997-03,102.7,
1997-04,103.7,
1997-05,103.8,
1997-06,102.3,
1997-07,102.1,
1997-08,90.9,
1997-09,95.8,
1997-10,105.1,
1997-11,99.1,
1997-12,102.1,
1998-01,104.1,
1998-02,100.9,
1998-03,98.7,
1998-04,98.2,
1998-05,102.3,
1998-06,97.1,
1998-07,100.8,
1998-08,102.2,
1998-09,98.3,
1998-10,98.8,
1998-11,101.8,
1998-12,98.4,
1999-01,103.4,
1999-02,94.4,
1999-03,104.0,
1999-04,98.7,
1999-05,102.6,
1999-06,101.9,
1999-07,101.5,
1999-08,103.8,
1999-09,85.3,
1999-10,101.2,
1999-11,99.9,
1999-12,100.0,
2000-01,98.3,
2000-02,104.0,
2000-03,97.1,
2000-04,103.7,
2000-05,99.1,
2000-06,100.6,
2000-07,100.7,
2000-08,100.2,
2000-09,96.8,
2000-10,98.1,
2000-11,99.0,
2000-12,100.5,
2001-01,101.5,
2001-02,101.1,
2001-03,101.1,
2001-04,97.9,
2001-05,102.3,
2001-06,98.5,
2001-07,98.9,
2001-08,96.4,
2001-09,105.7,
2001-10,90.1,
2001-11,101.4,
2001-12,97.8,
2002-01,94.7,
2002-02,96.3,
2002-03,95.0,
2002-04,95.4,
2002-05,97.0,
2002-06,92.5,
2002-07,94.3,
2002-08,93.9,
2002-09,95.8,
2002-10,94.2,
2002-11,91.1,
2002-12,93.4,
2003-01,90.9,
2003-02,90.8,
2003-03,94.6,
2003-04,87.4,
2003-05,88.4,
2003-06,93.1,
2003-07,88.5,
2003-08,85.4,
2003-09,88.5,
2003-10,91.9,
2003-11,85.9,
2003-12,88.1,
2004-01,90.4,
2004-02,94.9,
2004-03,92.3,
2004-04,93.5,
2004-05,90.5,
2004-06,92.4,
2004-07,93.0,
2004-08,92.3,
2004-09,88.6,
2004-10,90.5,
2004-11,93.8,
2004-12,92.9,
2005-01,93.7,
2005-02,90.9,
2005-03,94.5,
2005-04,97.5,
2005-05,94.9,
2005-06,93.9,
2005-07,94.8,
2005-08,95.3,
2005-09,87.9,
2005-10,95.4,
2005-11,96.9,
2005-12,94.1,
2006-01,97.6,
2006-02,94.4,
2006-03,95.0,
2006-04,96.2,
2006-05,100.6,
2006-06,98.6,
2006-07,95.8,
2006-08,101.8,
2006-09,85.8,
2006-10,96.6,
2006-11,97.5,
2006-12,99.2,
2007-01,94.1,
2007-02,96.3,
2007-03,100.5,
2007-04,104.6,
2007-05,94.4,
2007-06,98.0,
2007-07,96.6,
2007-08,98.7,
2007-09,100.1,
2007-10,96.0,
2007-11,95.6,
2007-12,96.3,
2008-01,99.8,
2008-02,101.5,
2008-03,93.5,
2008-04,92.9,
2008-05,108.6,
2008-06,96.4,
2008-07,97.4,
2008-08,98.9,
2008-09,101.1,
2008-10,96.3,
2008-11,99.3,
2008-12,98.6,
2009-01,95.3,
2009-02,93.7,
2009-03,93.6,
2009-04,97.9,
2009-05,96.7,
2009-06,93.5,
2009-07,96.2,
2009-08,91.0,
2009-09,93.9,
2009-10,100.5,
2009-11,93.8,
2009-12,98.9,
2010-01,96.5,
2010-02,98.7,
2010-03,102.0,
2010-04,95.5,
2010-05,97.9,
2010-06,101.2,
2010-07,99.2,
2010-08,103.0,
2010-09,101.5,
2010-10,99.7,
2010-11,101.9,
2010-12,100.7,
2011-01,100.5,
2011-02,103.3,
2011-03,100.8,
2011-04,105.4,
2011-05,98.7,
2011-06,101.6,
2011-07,103.3,
2011-08,100.3,
2011-09,95.5,
2011-10,105.2,
2011-11,102.4,
2011-12,103.0,
2012-01,102.8,
2012-02,99.7,
2012-03,109.5,
2012-04,100.0,
2012-05,103.1,
2012-06,100.1,
2012-07,102.9,
2012-08,100.8,
2012-09,104.8,
2012-10,102.0,
2012-11,100.1,
2012-12,101.2,
2013-01,102.4,
2013-02,101.0,
2013-03,98.0,
2013-04,105.3,
2013-05,104.2,
2013-06,105.1,
2013-07,103.0,
2013-08,103.9,
2013-09,106.7,
2013-10,102.4,
2013-11,105.9,
2013-12,99.5,
2014-01,105.5,Provisional value
2014-02,107.6,Provisional value
2014-03,108.5,Provisional value
2014-04,100.6,Provisional value
2014-05,105.9,Provisional value
2014-06,105.5,Provisional value
2014-07,103.2,Provisional value
2014-08,112.4,Provisional value
2014-09,99.2,Provisional value
2014-10,100.3,Provisional value
2014-11,103.9,Provisional value
2014-12,104.0,Provisional value
