"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.B000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.B000.EUR.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:57,
1968-12,0.032,
1969-01,0.051,
1969-02,0.037,
1969-03,0.047,
1969-04,0.038,
1969-05,0.039,
1969-06,0.043,
1969-07,0.056,
1969-08,0.043,
1969-09,0.047,
1969-10,0.054,
1969-11,0.096,
1969-12,0.081,
1970-01,0.141,
1970-02,0.143,
1970-03,0.092,
1970-04,0.156,
1970-05,0.097,
1970-06,0.156,
1970-07,0.142,
1970-08,0.143,
1970-09,0.127,
1970-10,0.135,
1970-11,0.150,
1970-12,0.117,
1971-01,0.153,
1971-02,0.152,
1971-03,0.158,
1971-04,0.157,
1971-05,0.175,
1971-06,0.153,
1971-07,0.174,
1971-08,0.179,
1971-09,0.173,
1971-10,0.097,
1971-11,0.107,
1971-12,0.090,
1972-01,0.085,
1972-02,0.081,
1972-03,0.085,
1972-04,0.074,
1972-05,0.081,
1972-06,0.080,
1972-07,0.079,
1972-08,0.072,
1972-09,0.060,
1972-10,0.060,
1972-11,0.056,
1972-12,0.053,
1973-01,0.064,
1973-02,0.066,
1973-03,0.057,
1973-04,0.070,
1973-05,0.080,
1973-06,0.076,
1973-07,0.071,
1973-08,0.080,
1973-09,0.065,
1973-10,0.057,
1973-11,0.053,
1973-12,0.062,
1974-01,0.072,
1974-02,0.101,
1974-03,0.210,
1974-04,0.169,
1974-05,0.184,
1974-06,0.255,
1974-07,0.272,
1974-08,0.244,
1974-09,0.273,
1974-10,0.360,
1974-11,0.276,
1974-12,0.287,
1975-01,0.296,
1975-02,0.270,
1975-03,0.269,
1975-04,0.303,
1975-05,0.287,
1975-06,0.271,
1975-07,0.274,
1975-08,0.277,
1975-09,0.342,
1975-10,0.334,
1975-11,0.338,
1975-12,0.244,
1976-01,0.273,
1976-02,0.283,
1976-03,0.398,
1976-04,0.330,
1976-05,0.531,
1976-06,0.953,
1976-07,1.131,
1976-08,0.859,
1976-09,0.654,
1976-10,0.517,
1976-11,0.659,
1976-12,0.549,
1977-01,0.709,
1977-02,0.948,
1977-03,1.120,
1977-04,1.116,
1977-05,1.292,
1977-06,0.998,
1977-07,0.875,
1977-08,0.811,
1977-09,0.617,
1977-10,0.577,
1977-11,0.535,
1977-12,0.453,
1978-01,0.396,
1978-02,0.470,
1978-03,0.778,
1978-04,0.543,
1978-05,0.511,
1978-06,0.357,
1978-07,0.338,
1978-08,0.256,
1978-09,0.302,
1978-10,0.275,
1978-11,0.292,
1978-12,0.271,
1979-01,0.347,
1979-02,0.345,
1979-03,0.755,
1979-04,0.783,
1979-05,1.126,
1979-06,0.747,
1979-07,0.623,
1979-08,0.875,
1979-09,0.676,
1979-10,0.513,
1979-11,0.561,
1979-12,0.333,
1980-01,0.468,
1980-02,0.477,
1980-03,0.655,
1980-04,0.746,
1980-05,0.951,
1980-06,0.655,
1980-07,0.723,
1980-08,0.670,
1980-09,0.651,
1980-10,0.755,
1980-11,0.851,
1980-12,1.140,
1981-01,1.173,
1981-02,1.753,
1981-03,1.799,
1981-04,1.763,
1981-05,1.781,
1981-06,1.669,
1981-07,1.580,
1981-08,1.152,
1981-09,1.094,
1981-10,1.527,
1981-11,1.245,
1981-12,1.046,
1982-01,1.581,
1982-02,1.704,
1982-03,2.109,
1982-04,2.080,
1982-05,1.940,
1982-06,1.821,
1982-07,1.511,
1982-08,1.314,
1982-09,1.162,
1982-10,1.157,
1982-11,1.384,
1982-12,1.196,
1983-01,1.363,
1983-02,1.378,
1983-03,1.534,
1983-04,1.499,
1983-05,1.648,
1983-06,1.804,
1983-07,1.503,
1983-08,1.603,
1983-09,1.517,
1983-10,1.662,
1983-11,1.418,
1983-12,1.068,
1984-01,2.071,
1984-02,2.601,
1984-03,3.104,
1984-04,2.763,
1984-05,3.415,
1984-06,2.373,
1984-07,2.437,
1984-08,2.271,
1984-09,2.143,
1984-10,2.689,
1984-11,2.957,
1984-12,2.128,
1985-01,3.494,
1985-02,3.801,
1985-03,4.518,
1985-04,5.285,
1985-05,5.335,
1985-06,5.113,
1985-07,5.124,
1985-08,4.662,
1985-09,4.228,
1985-10,6.201,
1985-11,4.895,
1985-12,3.935,
1986-01,7.754,
1986-02,8.350,
1986-03,12.108,
1986-04,15.472,
1986-05,15.840,
1986-06,13.851,
1986-07,16.142,
1986-08,16.041,
1986-09,15.473,
1986-10,18.946,
1986-11,18.221,
1986-12,15.808,
1987-01,19.278,
1987-02,18.692,
1987-03,18.939,
1987-04,20.248,
1987-05,19.519,
1987-06,19.168,
1987-07,21.584,
1987-08,21.286,
1987-09,20.615,
1987-10,22.497,
1987-11,21.355,
1987-12,18.791,
1988-01,22.186,
1988-02,21.978,
1988-03,23.828,
1988-04,24.454,
1988-05,25.568,
1988-06,23.689,
1988-07,23.659,
1988-08,24.165,
1988-09,22.816,
1988-10,23.332,
1988-11,21.820,
1988-12,19.923,
1989-01,26.304,
1989-02,27.002,
1989-03,27.936,
1989-04,29.660,
1989-05,31.068,
1989-06,29.809,
1989-07,29.565,
1989-08,29.870,
1989-09,28.942,
1989-10,33.449,
1989-11,34.413,
1989-12,29.880,
1990-01,34.581,
1990-02,36.340,
1990-03,38.553,
1990-04,39.648,
1990-05,39.434,
1990-06,39.119,
1990-07,40.152,
1990-08,39.794,
1990-09,39.853,
1990-10,42.631,
1990-11,40.634,
1990-12,38.540,
1991-01,43.009,
1991-02,43.297,
1991-03,45.435,
1991-04,47.757,
1991-05,48.022,
1991-06,45.542,
1991-07,47.491,
1991-08,44.657,
1991-09,41.987,
1991-10,47.030,
1991-11,46.294,
1991-12,41.591,
1992-01,46.150,
1992-02,48.186,
1992-03,47.892,
1992-04,49.317,
1992-05,48.638,
1992-06,48.576,
1992-07,47.733,
1992-08,45.622,
1992-09,44.371,
1992-10,51.009,
1992-11,51.192,
1992-12,47.438,
1993-01,54.623,
1993-02,56.867,
1993-03,57.873,
1993-04,60.942,
1993-05,59.453,
1993-06,58.212,
1993-07,62.645,
1993-08,59.605,
1993-09,61.308,
1993-10,71.175,
1993-11,71.757,
1993-12,66.220,
1994-01,74.967,
1994-02,69.242,
1994-03,73.063,
1994-04,72.152,
1994-05,71.687,
1994-06,68.730,
1994-07,71.589,
1994-08,71.572,
1994-09,72.754,
1994-10,78.303,
1994-11,78.923,
1994-12,75.574,
1995-01,80.790,
1995-02,79.483,
1995-03,78.368,
1995-04,80.333,
1995-05,81.717,
1995-06,80.883,
1995-07,81.598,
1995-08,76.881,
1995-09,76.354,
1995-10,77.981,
1995-11,74.640,
1995-12,67.347,
1996-01,71.417,
1996-02,70.830,
1996-03,71.140,
1996-04,74.977,
1996-05,74.926,
1996-06,71.292,
1996-07,71.470,
1996-08,70.112,
1996-09,68.100,
1996-10,71.440,
1996-11,72.087,
1996-12,66.303,
1997-01,75.755,
1997-02,77.458,
1997-03,76.612,
1997-04,76.412,
1997-05,73.415,
1997-06,69.639,
1997-07,71.714,
1997-08,67.762,
1997-09,67.920,
1997-10,68.773,
1997-11,66.729,
1997-12,59.420,
1998-01,72.050,
1998-02,73.589,
1998-03,73.088,
1998-04,78.118,
1998-05,74.767,
1998-06,71.580,
1998-07,73.451,
1998-08,71.336,
1998-09,73.015,
1998-10,76.286,
1998-11,70.276,
1998-12,61.655,
1999-01,57.812,
1999-02,59.602,
1999-03,58.356,
1999-04,58.517,
1999-05,56.295,
1999-06,55.847,
1999-07,57.929,
1999-08,55.731,
1999-09,54.620,
1999-10,52.910,
1999-11,50.891,
1999-12,42.930,
2000-01,48.236,
2000-02,52.313,
2000-03,59.780,
2000-04,57.655,
2000-05,52.042,
2000-06,48.565,
2000-07,55.387,
2000-08,63.990,
2000-09,46.319,
2000-10,46.748,
2000-11,44.780,
2000-12,35.461,
2001-01,46.643,
2001-02,51.393,
2001-03,50.457,
2001-04,47.881,
2001-05,47.142,
2001-06,46.019,
2001-07,57.408,
2001-08,52.146,
2001-09,51.946,
2001-10,53.255,
2001-11,55.329,
2001-12,51.999,
2002-01,66.530,
2002-02,64.517,
2002-03,62.508,
2002-04,72.016,
2002-05,75.025,
2002-06,62.147,
2002-07,66.615,
2002-08,69.406,
2002-09,70.343,
2002-10,70.241,
2002-11,66.949,
2002-12,54.457,
2003-01,67.858,
2003-02,70.949,
2003-03,72.032,
2003-04,81.741,
2003-05,85.081,
2003-06,80.424,
2003-07,86.384,
2003-08,78.695,
2003-09,80.229,
2003-10,82.081,
2003-11,77.401,
2003-12,73.063,
2004-01,82.722,
2004-02,82.996,
2004-03,85.514,
2004-04,82.819,
2004-05,77.819,
2004-06,80.072,
2004-07,80.676,
2004-08,78.637,
2004-09,80.469,
2004-10,79.963,
2004-11,77.797,
2004-12,79.656,
2005-01,84.839,
2005-02,83.075,
2005-03,90.526,
2005-04,82.885,
2005-05,83.450,
2005-06,76.625,
2005-07,79.600,
2005-08,79.219,
2005-09,87.759,
2005-10,89.749,
2005-11,86.881,
2005-12,74.939,
2006-01,76.182,
2006-02,79.258,
2006-03,78.630,
2006-04,77.802,
2006-05,77.753,
2006-06,76.101,
2006-07,71.881,
2006-08,75.705,
2006-09,79.297,
2006-10,79.518,
2006-11,83.397,
2006-12,73.959,
2007-01,79.929,
2007-02,89.875,
2007-03,90.466,
2007-04,85.027,
2007-05,78.177,
2007-06,81.873,
2007-07,81.926,
2007-08,80.152,
2007-09,75.822,
2007-10,90.001,
2007-11,86.051,
2007-12,75.545,
2008-01,92.497,
2008-02,85.802,
2008-03,92.835,
2008-04,86.252,
2008-05,81.848,
2008-06,75.729,
2008-07,78.049,
2008-08,76.962,
2008-09,80.271,
2008-10,73.230,
2008-11,69.660,
