"",BBK01.PQL360,BBK01.PQL360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:18,
1968-10,0.389,
1969-01,0.397,
1969-04,0.420,
1969-07,0.436,
1969-10,0.452,
1970-01,0.462,
1970-04,0.487,
1970-07,0.514,
1970-10,0.545,
1971-01,0.569,
1971-04,0.620,
1971-07,0.663,
1971-10,0.700,
1972-01,0.710,
1972-04,0.758,
1972-07,0.794,
1972-10,0.842,
1973-01,0.870,
1973-04,0.905,
1973-07,0.913,
1973-10,0.976,
1974-01,0.966,
1974-04,0.988,
1974-07,1.010,
1974-10,1.043,
1975-01,1.058,
1975-04,1.107,
1975-07,1.156,
1975-10,1.206,
1976-01,1.270,
1976-04,1.384,
1976-07,1.470,
1976-10,1.577,
1977-01,1.625,
1977-04,1.730,
1977-07,1.807,
1977-10,1.881,
1978-01,1.923,
1978-04,2.039,
1978-07,2.118,
1978-10,2.243,
1979-01,2.254,
1979-04,2.334,
1979-07,2.412,
1979-10,2.538,
1980-01,2.578,
1980-04,2.680,
1980-07,2.781,
1980-10,2.870,
1981-01,2.971,
1981-04,3.014,
1981-07,3.121,
1981-10,3.292,
1982-01,3.357,
1982-04,3.481,
1982-07,3.599,
1982-10,3.777,
1983-01,3.802,
1983-04,3.918,
1983-07,4.066,
1983-10,4.158,
1984-01,4.130,
1984-04,4.171,
1984-07,4.194,
1984-10,4.224,
1985-01,4.160,
1985-04,4.130,
1985-07,4.072,
1985-10,4.485,
1986-01,4.384,
1986-04,4.339,
1986-07,4.334,
1986-10,4.269,
1987-01,4.198,
1987-04,4.177,
1987-07,4.142,
1987-10,4.138,
1988-01,4.093,
1988-04,4.080,
1988-07,4.082,
1988-10,4.084,
1989-01,4.064,
1989-04,4.167,
1989-07,4.253,
1989-10,4.454,
1990-01,4.613,
1990-04,4.787,
1990-07,5.066,
1990-10,5.427,
1991-01,5.560,
1991-04,5.903,
1991-07,6.241,
1991-10,6.690,
1992-01,6.946,
1992-04,7.292,
1992-07,7.645,
1992-10,8.097,
1993-01,8.258,
1993-04,8.393,
1993-07,8.512,
1993-10,8.435,
1994-01,8.240,
1994-04,8.118,
1994-07,8.268,
1994-10,8.522,
1995-01,8.647,
1995-04,8.745,
1995-07,8.814,
1995-10,8.888,
1996-01,8.742,
1996-04,8.635,
1996-07,8.657,
1996-10,8.686,
1997-01,8.552,
1997-04,8.395,
1997-07,8.251,
1997-10,8.111,
1998-01,7.953,
1998-04,7.886,
1998-07,7.837,
1998-10,7.217,
1999-01,15.667,
1999-04,14.821,
1999-07,15.016,
1999-10,13.390,
2000-01,13.065,
2000-04,12.798,
2000-07,12.628,
2000-10,12.004,
2001-01,11.695,
2001-04,11.545,
2001-07,11.347,
2001-10,11.123,
2002-01,10.975,
2002-04,10.754,
2002-07,10.599,
2002-10,10.305,
2003-01,9.972,
2003-04,9.743,
2003-07,9.571,
2003-10,9.287,
2004-01,9.072,
2004-04,8.904,
2004-07,8.711,
2004-10,8.404,
2005-01,8.159,
2005-04,8.017,
2005-07,7.913,
2005-10,7.737,
2006-01,7.504,
2006-04,7.397,
2006-07,7.262,
2006-10,7.076,
2007-01,6.928,
2007-04,6.908,
2007-07,6.831,
2007-10,6.721,
2008-01,6.654,
2008-04,6.616,
2008-07,6.541,
2008-10,6.441,
2009-01,6.397,
2009-04,6.436,
2009-07,6.667,
2009-10,6.769,
2010-01,6.706,
2010-04,6.720,
2010-07,6.723,
2010-10,6.577,
2011-01,6.592,
2011-04,6.596,
2011-07,6.618,
2011-10,6.628,
2012-01,6.694,
2012-04,7.020,
2012-07,7.152,
2012-10,7.183,
2013-01,7.200,
2013-04,7.236,
2013-07,7.390,
2013-10,7.422,
2014-01,7.454,
2014-04,7.479,
2014-07,7.607,
2014-10,7.638,
