"",BBDE1.M.DE.W.AEN5.A2P350000.F.V.I10.A,BBDE1.M.DE.W.AEN5.A2P350000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At current prices, flows / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:04,
2010-01,97.5,
2010-02,99.3,
2010-03,106.1,
2010-04,93.1,
2010-05,97.3,
2010-06,102.3,
2010-07,105.1,
2010-08,98.1,
2010-09,100.3,
2010-10,103.8,
2010-11,100.7,
2010-12,91.4,
2011-01,105.0,
2011-02,110.9,
2011-03,111.8,
2011-04,101.3,
2011-05,99.1,
2011-06,100.4,
2011-07,114.9,
2011-08,99.3,
2011-09,102.4,
2011-10,103.8,
2011-11,102.9,
2011-12,93.6,
2012-01,104.4,
2012-02,105.0,
2012-03,117.1,
2012-04,96.8,
2012-05,105.1,
2012-06,108.9,
2012-07,115.8,
2012-08,108.3,
2012-09,110.7,
2012-10,110.7,
2012-11,108.5,
2012-12,101.6,
2013-01,104.4,
2013-02,108.8,
2013-03,112.1,
2013-04,108.0,
2013-05,106.1,
2013-06,106.9,
2013-07,117.5,
2013-08,105.7,
2013-09,117.8,
2013-10,117.6,
2013-11,119.9,
2013-12,103.6,
2014-01,119.2,
2014-02,123.0,
2014-03,115.3,
2014-04,113.4,
2014-05,114.5,
2014-06,115.4,
2014-07,118.6,
2014-08,117.1,
2014-09,119.2,
2014-10,121.1,
2014-11,123.0,
2014-12,105.6,Provisional value
