"",BBK01.OEAA38S,BBK01.OEAA38S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:09,
2002-01,0.318,
2002-04,0.317,
2002-07,0.315,
2002-10,0.312,
2003-01,0.306,
2003-04,0.302,
2003-07,0.302,
2003-10,0.301,
2004-01,0.295,
2004-04,0.297,
2004-07,0.302,
2004-10,0.301,
2005-01,0.307,
2005-04,0.314,
2005-07,0.315,
2005-10,0.312,
2006-01,0.313,
2006-04,0.313,
2006-07,0.313,
2006-10,0.312,
2007-01,0.311,
2007-04,0.303,
2007-07,0.305,
2007-10,0.293,
2008-01,0.289,
2008-04,0.292,
2008-07,0.291,
2008-10,0.286,
2009-01,0.284,
2009-04,0.285,
2009-07,0.291,
2009-10,0.285,
2010-01,0.288,
2010-04,0.305,
2010-07,0.343,
2010-10,0.338,
2011-01,0.338,
2011-04,0.342,
2011-07,0.349,
2011-10,0.344,
2012-01,0.344,
2012-04,0.349,
2012-07,0.397,
2012-10,0.395,
2013-01,0.394,
2013-04,0.400,
2013-07,0.405,
2013-10,0.398,
2014-01,0.402,
2014-04,0.412,
2014-07,0.426,
