"",BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:36,
1991-01,56.326,
1991-04,143.023,
1991-07,-48.049,
1991-10,163.912,
1992-01,-66.803,
1992-04,31.663,
1992-07,10.332,
1992-10,142.932,
1993-01,-116.278,
1993-04,102.308,
1993-07,-266.735,
1993-10,-46.067,
1994-01,-88.410,
1994-04,-453.273,
1994-07,-10.902,
1994-10,53.945,
1995-01,-235.397,
1995-04,-60.728,
1995-07,-16.198,
1995-10,90.507,
1996-01,-65.219,
1996-04,-54.140,
1996-07,-73.599,
1996-10,83.559,
1997-01,-123.694,
1997-04,28.745,
1997-07,424.803,
1997-10,130.724,
1998-01,27.047,
1998-04,159.327,
1998-07,2.841,
1998-10,-62.895,
1999-01,-81.507,
1999-04,-45.758,
1999-07,-104.866,
1999-10,26.064,
2000-01,-239.368,
2000-04,384.069,
2000-07,-120.796,
2000-10,117.742,
2001-01,-75.976,
2001-04,102.696,
2001-07,-124.343,
2001-10,178.195,
2002-01,-64.974,
2002-04,-76.903,
2002-07,-71.332,
2002-10,-46.957,
2003-01,-49.463,
2003-04,-170.196,
2003-07,-194.061,
2003-10,-140.925,
2004-01,-146.909,
2004-04,-148.665,
2004-07,-190.351,
2004-10,-126.097,
2005-01,-214.662,
2005-04,-141.870,
2005-07,-298.671,
2005-10,-182.311,
2006-01,-462.248,
2006-04,-146.670,
2006-07,47.696,
2006-10,-57.695,
2007-01,50.859,
2007-04,-51.205,
2007-07,75.352,
2007-10,55.176,
2008-01,8.315,
2008-04,44.308,
2008-07,33.278,
2008-10,-70.586,
2009-01,-23.345,
2009-04,-17.987,
2009-07,143.612,
2009-10,99.268,
2010-01,-88.638,
2010-04,37.370,
2010-07,91.085,
2010-10,162.898,
2011-01,18.862,
2011-04,48.791,
2011-07,115.091,
2011-10,-137.308,
2012-01,66.431,
2012-04,-104.720,
2012-07,-113.974,
2012-10,284.286,
2013-01,-19.359,
2013-04,60.947,
2013-07,-7.114,
2013-10,126.050,
2014-01,5.071,Provisional value
2014-04,-8.617,Provisional value
2014-07,22.766,Provisional value
2014-10,114.376,Provisional value
