"",BBK01.OEAI09N,BBK01.OEAI09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:00,
2002-01,23.900,
2002-04,22.955,
2002-07,23.265,
2002-10,23.017,
2003-01,22.301,
2003-04,21.415,
2003-07,20.473,
2003-10,20.555,
2004-01,20.501,
2004-04,20.280,
2004-07,20.134,
2004-10,19.810,
2005-01,19.452,
2005-04,18.787,
2005-07,18.281,
2005-10,18.538,
2006-01,19.580,
2006-04,20.559,
2006-07,21.740,
2006-10,23.055,
2007-01,24.363,
2007-04,24.524,
2007-07,25.114,
2007-10,25.782,
2008-01,25.582,
2008-04,25.170,
2008-07,24.655,
2008-10,27.733,
2009-01,27.831,
2009-04,28.400,
2009-07,29.083,
2009-10,28.445,
2010-01,27.188,
2010-04,26.183,
2010-07,24.757,
2010-10,24.134,
2011-01,23.935,
2011-04,23.928,
2011-07,24.195,
2011-10,22.974,
2012-01,23.084,
2012-04,22.763,
2012-07,22.063,
2012-10,21.037,
2013-01,19.852,
2013-04,18.816,
2013-07,17.970,
2013-10,17.391,
2014-01,17.200,
2014-04,17.022,
2014-07,17.803,
