"",BBK01.OEAL05H,BBK01.OEAL05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:21,
2002-01,12.165,
2002-04,10.841,
2002-07,10.856,
2002-10,11.276,
2003-01,11.329,
2003-04,11.297,
2003-07,11.179,
2003-10,11.578,
2004-01,11.696,
2004-04,11.779,
2004-07,11.852,
2004-10,12.338,
2005-01,12.801,
2005-04,12.789,
2005-07,12.827,
2005-10,13.225,
2006-01,13.471,
2006-04,13.483,
2006-07,13.609,
2006-10,13.989,
2007-01,14.053,
2007-04,13.986,
2007-07,14.014,
2007-10,14.368,
2008-01,14.444,
2008-04,14.377,
2008-07,14.558,
2008-10,14.788,
2009-01,14.883,
2009-04,14.850,
2009-07,14.979,
2009-10,15.637,
2010-01,14.097,
2010-04,14.383,
2010-07,14.588,
2010-10,14.749,
2011-01,14.898,
2011-04,14.916,
2011-07,14.851,
2011-10,15.043,
2012-01,14.904,
2012-04,14.906,
2012-07,14.979,
2012-10,14.196,
2013-01,14.233,
2013-04,14.214,
2013-07,14.282,
2013-10,14.514,
2014-01,14.909,
2014-04,15.197,
2014-07,15.350,
