"",BBFB1.M.N.DE.W1.S13.S1.T.L.FA._Z.F._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.L.FA._Z.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / General government / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:47,
1991-01,2837.549,
1991-02,3632.916,
1991-03,-4683.522,
1991-04,-1491.941,
1991-05,2970.180,
1991-06,95.705,
1991-07,2472.508,
1991-08,3090.935,
1991-09,2829.402,
1991-10,4581.417,
1991-11,4463.012,
1991-12,2603.284,
1992-01,5743.743,
1992-02,-959.092,
1992-03,-2271.311,
1992-04,-770.419,
1992-05,1116.906,
1992-06,-7.949,
1992-07,4580.742,
1992-08,2929.117,
1992-09,13287.328,
1992-10,6171.114,
1992-11,103.003,
1992-12,6558.245,
1993-01,12076.991,
1993-02,7311.369,
1993-03,9050.230,
1993-04,6384.839,
1993-05,6027.863,
1993-06,9231.515,
1993-07,8319.683,
1993-08,-1713.953,
1993-09,6722.777,
1993-10,7127.597,
1993-11,4406.895,
1993-12,14328.373,
1994-01,9677.952,
1994-02,-3933.576,
1994-03,-9130.577,
1994-04,-608.815,
1994-05,-888.018,
1994-06,-4643.821,
1994-07,72.758,
1994-08,350.865,
1994-09,-1020.793,
1994-10,3377.659,
1994-11,7942.318,
1994-12,-3798.543,
1995-01,-725.668,
1995-02,-1736.968,
1995-03,2955.626,
1995-04,3023.551,
1995-05,4562.909,
1995-06,3518.338,
1995-07,-1246.962,
1995-08,5896.682,
1995-09,-482.258,
1995-10,-1269.201,
1995-11,7591.649,
1995-12,2294.878,
1996-01,2362.340,
1996-02,-3125.658,
1996-03,-2510.740,
1996-04,1932.709,
1996-05,2874.522,
1996-06,2670.302,
1996-07,6557.060,
1996-08,7892.223,
1996-09,-476.082,
1996-10,70.043,
1996-11,9555.471,
1996-12,4585.952,
1997-01,8892.641,
1997-02,2280.657,
1997-03,-4352.120,
1997-04,3157.808,
1997-05,116.586,
1997-06,5977.393,
1997-07,3391.836,
1997-08,-1391.339,
1997-09,6055.003,
1997-10,-1667.439,
1997-11,7091.303,
1997-12,7164.150,
1998-01,7579.887,
1998-02,1146.624,
1998-03,-5279.458,
1998-04,-303.786,
1998-05,-827.708,
1998-06,-185.308,
1998-07,11213.335,
1998-08,11747.949,
1998-09,1959.664,
1998-10,-2718.652,
1998-11,10029.766,
1998-12,1477.851,
1999-01,376.500,
1999-02,-5323.172,
1999-03,4350.657,
1999-04,7283.230,
1999-05,-6261.574,
1999-06,1285.085,
1999-07,9149.717,
1999-08,9435.974,
