"",BBFB1.Q.N.DE.TR.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:56,
1991-01,26.642,
1991-04,27.099,
1991-07,26.885,
1991-10,25.328,
1992-01,23.772,
1992-04,26.492,
1992-07,31.531,
1992-10,38.259,
1993-01,37.862,
1993-04,38.664,
1993-07,63.709,
1993-10,60.621,
1994-01,45.605,
1994-04,40.151,
1994-07,48.882,
1994-10,58.663,
1995-01,65.728,
1995-04,71.215,
1995-07,72.468,
1995-10,61.885,
1996-01,59.420,
1996-04,58.495,
1996-07,60.828,
1996-10,61.164,
1997-01,64.926,
1997-04,63.644,
1997-07,64.219,
1997-10,75.088,
1998-01,89.384,
1998-04,106.720,
1998-07,130.140,
1998-10,146.962,
1999-01,165.970,
1999-04,181.690,
1999-07,175.575,
1999-10,175.549,
2000-01,154.271,
2000-04,137.351,
2000-07,144.739,
2000-10,141.773,
2001-01,129.351,
2001-04,136.670,
2001-07,136.424,
2001-10,133.574,
2002-01,136.346,
2002-04,117.062,
2002-07,85.285,
2002-10,77.364,
2003-01,66.169,
2003-04,65.554,
2003-07,51.636,
2003-10,39.161,
2004-01,39.624,
2004-04,36.649,
2004-07,31.258,
2004-10,30.557,
2005-01,27.228,
2005-04,32.222,
2005-07,40.030,
2005-10,46.826,
2006-01,59.542,
2006-04,60.672,
2006-07,72.678,
2006-10,74.591,
2007-01,68.540,
2007-04,67.996,
2007-07,68.100,
2007-10,69.955,
2008-01,85.427,
2008-04,53.907,
2008-07,31.163,
2008-10,38.947,
2009-01,39.890,
2009-04,40.009,
2009-07,41.116,
2009-10,44.908,
2010-01,43.269,
2010-04,40.443,
2010-07,27.930,
2010-10,28.032,
2011-01,17.923,
2011-04,22.151,
2011-07,20.982,
2011-10,21.940,
2012-01,26.971,
2012-04,32.845,
2012-07,47.034,
2012-10,51.016,
2013-01,65.249,
2013-04,71.015,
2013-07,64.618,
2013-10,66.736,
2014-01,64.066,Provisional value
2014-04,69.284,Provisional value
2014-07,58.504,Provisional value
