"",BBK01.WXI072,BBK01.WXI072_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:06,
2009-09,90,
2009-10,83,
2009-11,136,
2009-12,54,
2010-01,62,
2010-02,88,
2010-03,50,
2010-04,101,
2010-05,98,
2010-06,77,
2010-07,79,
2010-08,76,
2010-09,297,
2010-10,170,
2010-11,104,
2010-12,46,
2011-01,86,
2011-02,54,
2011-03,75,
2011-04,76,
2011-05,81,
2011-06,87,
2011-07,66,
2011-08,76,
2011-09,177,
2011-10,118,
2011-11,105,
2011-12,112,
2012-01,115,
2012-02,96,
2012-03,157,
2012-04,62,
2012-05,65,
2012-06,53,
2012-07,54,
2012-08,66,
2012-09,156,
2012-10,53,
2012-11,53,
2012-12,67,
2013-01,92,
2013-02,99,
2013-03,51,
2013-04,115,
2013-05,73,
2013-06,75,
2013-07,63,
2013-08,59,
2013-09,60,
2013-10,71,
2013-11,82,
2013-12,148,
2014-01,78,
2014-02,83,
2014-03,80,
2014-04,73,
2014-05,88,
2014-06,61,
2014-07,181,
2014-08,80,
2014-09,83,
2014-10,60,
2014-11,95,
