"",BBK01.OEAM01O,BBK01.OEAM01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:12,
2002-01,1.419,
2002-04,1.660,
2002-07,1.540,
2002-10,1.539,
2003-01,1.436,
2003-04,1.790,
2003-07,1.804,
2003-10,1.831,
2004-01,1.107,
2004-04,1.200,
2004-07,1.230,
2004-10,1.568,
2005-01,1.693,
2005-04,1.706,
2005-07,1.585,
2005-10,1.710,
2006-01,1.592,
2006-04,1.823,
2006-07,2.650,
2006-10,3.123,
2007-01,2.645,
2007-04,2.561,
2007-07,2.396,
2007-10,2.537,
2008-01,2.372,
2008-04,2.558,
2008-07,2.317,
2008-10,2.312,
2009-01,2.145,
2009-04,2.216,
2009-07,2.196,
2009-10,2.146,
2010-01,1.844,
2010-04,2.117,
2010-07,2.327,
2010-10,2.780,
2011-01,2.424,
2011-04,2.565,
2011-07,2.124,
2011-10,3.071,
2012-01,2.482,
2012-04,2.717,
2012-07,2.744,
2012-10,4.332,
2013-01,2.970,
2013-04,2.661,
2013-07,2.619,
2013-10,3.301,
2014-01,2.652,
2014-04,2.834,
2014-07,2.933,
