"",BBEX3.A.BBD.USD.CA.AA.A04,BBEX3.A.BBD.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Barbados / USD 1 = BBD ... (buying),
unit,BBD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:12:52,
1976,1.99370,
1977,1.99370,
1978,1.99370,
1979,1.99370,
1980,1.99370,
1981,1.99370,
1982,1.99370,
1983,1.99370,
1984,1.99370,
1985,1.99370,
1986,1.99370,
1987,1.99370,
1988,1.99370,
1989,1.99370,
1990,1.99370,
1991,1.99370,
1992,1.99370,
1993,1.99370,
1994,1.99370,
1995,1.99370,
1996,1.99370,
1997,1.99372,
1998,1.99377,
1999,1.99375,
2000,1.99375,
2001,1.99375,
2002,1.99375,
2003,1.99375,
2004,1.99375,
2005,1.99375,
2006,1.99375,
2007,1.99375,
2008,1.99375,
2009,1.99375,
2010,1.99375,
2011,1.99375,
2012,1.99375,
2013,1.99375,
2014,1.99375,
"",General: The Barbados dollar is pegged to the US dollar.,
"","Source: Central Bank of Barbados, Bridgetown.",
"",Methodology: Calculated on the basis of month-end rates.,
