"",BBK01.OEAC29P,BBK01.OEAC29P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:39,
2002-01,0.445,
2002-04,0.450,
2002-07,0.437,
2002-10,0.446,
2003-01,0.440,
2003-04,0.431,
2003-07,0.422,
2003-10,0.430,
2004-01,0.408,
2004-04,0.392,
2004-07,0.379,
2004-10,0.375,
2005-01,0.380,
2005-04,0.358,
2005-07,0.351,
2005-10,0.347,
2006-01,0.342,
2006-04,0.350,
2006-07,0.335,
2006-10,0.327,
2007-01,0.334,
2007-04,0.329,
2007-07,0.316,
2007-10,0.313,
2008-01,0.309,
2008-04,0.308,
2008-07,0.306,
2008-10,0.314,
2009-01,0.314,
2009-04,0.309,
2009-07,0.300,
2009-10,0.301,
2010-01,0.306,
2010-04,0.296,
2010-07,0.276,
2010-10,0.282,
2011-01,0.276,
2011-04,0.277,
2011-07,0.273,
2011-10,0.289,
2012-01,0.279,
2012-04,0.290,
2012-07,0.282,
2012-10,0.288,
2013-01,0.302,
2013-04,0.293,
2013-07,0.262,
2013-10,0.249,
2014-01,0.247,
2014-04,0.244,
2014-07,0.232,
