"",BBK01.OEAE36P,BBK01.OEAE36P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:17,
2002-01,0.515,
2002-04,0.530,
2002-07,0.539,
2002-10,0.517,
2003-01,0.498,
2003-04,0.492,
2003-07,0.488,
2003-10,0.491,
2004-01,0.480,
2004-04,0.491,
2004-07,0.493,
2004-10,0.488,
2005-01,0.487,
2005-04,0.469,
2005-07,0.432,
2005-10,0.430,
2006-01,0.426,
2006-04,0.422,
2006-07,0.426,
2006-10,0.288,
2007-01,0.281,
2007-04,0.288,
2007-07,0.298,
2007-10,0.296,
2008-01,0.294,
2008-04,0.355,
2008-07,0.367,
2008-10,0.318,
2009-01,0.391,
2009-04,0.355,
2009-07,0.347,
2009-10,0.337,
2010-01,0.344,
2010-04,0.356,
2010-07,0.351,
2010-10,0.351,
2011-01,0.336,
2011-04,0.339,
2011-07,0.317,
2011-10,0.319,
2012-01,0.328,
2012-04,0.341,
2012-07,0.335,
2012-10,0.327,
2013-01,0.319,
2013-04,0.320,
2013-07,0.328,
2013-10,0.332,
2014-01,0.328,
2014-04,0.528,
2014-07,0.543,
